标题,时间,内容
•  Global AI hardware revenue 2023 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI hardware revenue 2023 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI readiness by country 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Impact of AI on GVA by select industry worldwide 2035 | Statista,"
                                                                            Oct 24, 2018
                                                                    ",
•  AI environmental applications: impact on global GDP 2030 | Statista,"
                                                                            May 18, 2020
                                                                    ",
•  Global equity funding AI retail startups 2013-2018 | Statista,"
                                                                            Jun 17, 2020
                                                                    ",
•  Microsoft AI patents 2012-2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI paper publications China/worldwide 1997-2017 | Statista,"
                                                                            Mar 10, 2020
                                                                    ",
•  AI patent applications worldwide 1997-2017 | Statista,"
                                                                            Mar 10, 2020
                                                                    ",
•  Data center chip architecture for AI inference 2025 | Statista,"
                                                                            Nov 30, 2020
                                                                    ",
•  Global AI paper publications by institution 1997-2017 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
"•  Global AI publications life sciences, healthcare & agriculture 1990-2017 | Statista","
                                                                            Mar 2, 2020
                                                                    ",
•  Top AI patent holder startups 2009-2017 | Statista,"
                                                                            Jan 28, 2019
                                                                    ",
•  Impact of AI on industry GVA growth rates worldwide 2035 | Statista,"
                                                                            Oct 24, 2018
                                                                    ",
•  AI patents by company worldwide 1997-2017 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
•  AI application vendor revenue share 2018 | Statista,"
                                                                            Dec 1, 2020
                                                                    ",
•  AI professionals by country 2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Willingness in select countries to adapt AI and robotics for healthcare needs 2016 | Statista,"
                                                                            Mar 26, 2018
                                                                    ",
•  Global AI paper publications share1997-2017 | Statista,"
                                                                            Mar 10, 2020
                                                                    ",
•  Retail industry AI penetration by subsector 2018 | Statista,"
                                                                            Dec 16, 2019
                                                                    ",
•  Adoption of AI in marketing personalization worldwide 2018 l Statistic | Statista,"
                                                                            Sep 20, 2018
                                                                    ",
•  Benefits of using AI for marketing personalization worldwide 2018 l Statistic | Statista,"
                                                                            Sep 20, 2018
                                                                    ",
•  Marketing related use of AI worldwide by region 2018 l Statistic  | Statista,"
                                                                            Sep 20, 2018
                                                                    ",
•  Global AI paper publications by enterprise 1997-2017 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
•  AI patent applications by company 1999-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Tech companies AI startup acquisitions spending 1998-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI experts' share by country 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI global market revenue by vendor 2016-2018 | Statista,"
                                                                            Dec 1, 2020
                                                                    ",
•  AI strategic opportunity and risk 2017 | Statista,"
                                                                            Jun 7, 2018
                                                                    ",
•  Global AI startups share by country 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Number of countries adopting AI surveillance by region worldwide 2019 | Statista,"
                                                                            Apr 16, 2020
                                                                    ",
•  Data center chip architecture for AI training 2025 | Statista,"
                                                                            Nov 30, 2020
                                                                    ",
•  AI devices ownership rate and purchase plans 2018 | Statista,"
                                                                            Jan 22, 2021
                                                                    ",
•  Willingness adapt AI/robotics for healthcare worldwide by select country 2016 | Statista,"
                                                                            Mar 26, 2018
                                                                    ",
•  Global AI agritech funding by company 2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Retail industry AI penetration by format 2018 | Statista,"
                                                                            Dec 16, 2019
                                                                    ",
•  AI environmental applications: impact on net employment by skill 2030 | Statista,"
                                                                            May 18, 2020
                                                                    ",
•  AI adoption in global companies: impact on workforce 2019 | Statista,"
                                                                            Dec 10, 2020
                                                                    ",
•  Global cognitive technology/AI implementation challenges 2017 | Statista,"
                                                                            Mar 12, 2019
                                                                    ",
•  Share of at-scale AI implementers by country worldwide 2017 | Statista,"
                                                                            Feb 26, 2019
                                                                    ",
•  Obstacles to AI in health care organizations U.S. 2017 | Statista,"
                                                                            Dec 2, 2020
                                                                    ",
•  AI patent families by company worldwide 2019 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
•  Number of countries adopting AI surveillance by company worldwide 2019 | Statista,"
                                                                            Apr 16, 2020
                                                                    ",
•  Planned increase in spending on AI use in marketing worldwide 2018 | Statista,"
                                                                            Jan 30, 2019
                                                                    ",
•  Global AI funding count share by stage of funding 2012-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI funding amount share by stage of funding 2012-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI investment & funding share by stage of funding 2013-2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI enterprise share by category 2013-2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI healthcare/agriculture patent publications by company 2007-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI publications by institution 1990-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global types of AI deployment in organizations 2017 | Statista,"
                                                                            Mar 12, 2019
                                                                    ",
•  Global AI hardware market share by product 2023 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Biopharma AI market worldwide by application 2025 forecast | Statista,"
                                                                            Jan 2, 2020
                                                                    ",
•  AI-enabled drug discovery and clinical trials market share by region 2030 | Statista,"
                                                                            Oct 22, 2020
                                                                    ",
"    • Global AI Survey 2020 | Statista
",,
•  Edge AI chip shipments by device worldwide 2020 and 2024 | Statista,"
                                                                            Sep 22, 2021
                                                                    ",
•  Data center staff levels impacted by AI 2020 | Statista,"
                                                                            Apr 19, 2021
                                                                    ",
"    • Tech use in the investment industry | Statista
",,
"    • Xiaomi | Statista
",,
•  Artificial Intelligence: usefulness for the car industry 2020 | Statista,"
                                                                            Jul 2, 2021
                                                                    ",
"    • Infosys | Statista
",,
•  AI spending forecast in Europe 2023 | Statista,"
                                                                            Apr 23, 2021
                                                                    ",
"    • Artificial Intelligence economic impact 2016 | Statista
",,
"    • Artificial intelligence and economic growth report 2016 | Statista
",,
"    • Artificial intelligence: myths and reality 2016 | Statista
",,
"    • Artificial intelligence trends 2016 | Statista
",,
•  AI: business value by type worldwide 2017-2025 | Statista,"
                                                                            Nov 30, 2020
                                                                    ",
AI use in marketing - Statistics & Facts | Statista,"Jan 17, 2019","
        Artificial intelligence (AI) has long been a thing of imagination, one of Hollywood’s favorite themes for blockbusters. Perhaps they were being fueled by ongoing research, or vice versa – researchers were inspired by fictional visions. Whatever the case, we have lived to see the day when the fantasy became reality. In fact, the technology is being populated on such a scale, that the "
"    • Artificial intelligence impacts on business and employment 2016 | Statista
",,
•  AI funding United States 2011-2019 | Statista,"
                                                                            Nov 26, 2021
                                                                    ",
•  US AI venture capital startup funding 2016-2020 | Statista,"
                                                                            May 12, 2021
                                                                    ",
•  AI investment deals by quarter US 2017-2020 | Statista,"
                                                                            Apr 28, 2021
                                                                    ",
•  AI investment deals United States 2013-2019 | Statista,"
                                                                            Nov 26, 2021
                                                                    ",
"    • Edge Computing | Statista
",,
•  South Korea: experience with AI by service type 2019 | Statista,"
                                                                            Sep 6, 2021
                                                                    ",
•  South Korea: experience with AI by age group 2019 | Statista,"
                                                                            Sep 6, 2021
                                                                    ",
•  South Korea: experience with AI by gender 2019 | Statista,"
                                                                            Sep 6, 2021
                                                                    ",
•  South Korea: experience with AI 2019 | Statista,"
                                                                            Sep 6, 2021
                                                                    ",
•  Worldwide - investment in automotive AI 2017 | Statista,"
                                                                            Feb 5, 2021
                                                                    ",
•  AI's application areas in organizations 2018 | Statista,"
                                                                            Mar 26, 2019
                                                                    ",
"    • PwC Report on Sustainability in a Disruptive World | Statista
",,
•  AI talent by research area worldwide 2017 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
"    • Robotics | Statista
",,
"    • Global software industry: financial insight | Statista
",,
"    • Smart hospitals | Statista
",,
•  Leading AI providers by revenue Russia 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  Global business and HR leaders use of AI to assist workers 2020 | Statista,"
                                                                            May 17, 2021
                                                                    ",
•  AI usage manufacturing industry worldwide 2020 | Statista,"
                                                                            Feb 10, 2021
                                                                    ",
•  AI use casesin IT and telecoms worldwide 2020 | Statista,"
                                                                            Feb 10, 2021
                                                                    ",
•  AI usage pharma and healthcare worldwide 2020 | Statista,"
                                                                            Feb 10, 2021
                                                                    ",
•  Global business and HR leaders primary reason for using AI 2020 | Statista,"
                                                                            May 17, 2021
                                                                    ",
•  Global AI enterprises by city 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Potential value of AI by sector in the future 2018 | Statista,"
                                                                            Aug 27, 2021
                                                                    ",
•  Customer attitudes towards AI 2019 | Statista,"
                                                                            Sep 24, 2020
                                                                    ",
•  Global AI market for healthcare applications 2018 and 2022 | Statista,"
                                                                            Oct 27, 2020
                                                                    ",
•  Average funding of AI-focused startup companies worldwide 2016 | Statista,"
                                                                            Oct 19, 2016
                                                                    ",
•  Most well-funded AI startups worldwide 2019 | Statista,"
                                                                            Jun 17, 2020
                                                                    ",
•  Biggest global Insurtech AI ventures by funding 2017 | Statista,"
                                                                            Nov 5, 2020
                                                                    ",
•  Conversational AI M&A deals worldwide 2016-2019 | Statista,"
                                                                            Nov 30, 2020
                                                                    ",
•  Sources of investment in AI worldwide 2016 | Statista,"
                                                                            Jul 21, 2020
                                                                    ",
•  Call center AI: market revenue by region 2017-2024 | Statista,"
                                                                            Nov 30, 2020
                                                                    ",
•  Global AI average funding event size by quarter 2013-2019 | Statista,"
                                                                            Sep 24, 2020
                                                                    ",
•  Impact of AI on software sales jobs worldwide 2017 | Statista,"
                                                                            Jun 7, 2018
                                                                    ",
•  Global AI implementation benefits in organizations 2017 | Statista,"
                                                                            Feb 26, 2019
                                                                    ",
•  AI talent by affiliated entity worldwide 2017 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
•  Global AI paper publications by government agency 1997-2017 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
•  AI environmental applications: impact on net employment by region 2030 | Statista,"
                                                                            May 18, 2020
                                                                    ",
•  Global computer vision AI market by industry application 2015-2019 | Statista,"
                                                                            Nov 24, 2016
                                                                    ",
•  Call center AI: global market revenue 2024 | Statista,"
                                                                            Aug 28, 2020
                                                                    ",
•  Graphcore Colossus MK2 vs Nvidia A100 processor 2020 | Statista,"
                                                                            Jul 22, 2020
                                                                    ",
•  AI expenditure in global companies 2019 | Statista,"
                                                                            Apr 8, 2021
                                                                    ",
•  Global computer vision AI market for medicine by region 2015-2019 | Statista,"
                                                                            Nov 24, 2016
                                                                    ",
•  Most funded AI companies in LatAm 2021 | Statista,"
                                                                            Nov 11, 2021
                                                                    ",
•  China: highest valued AI unicorn companies 2021 | Statista,"
                                                                            Sep 9, 2021
                                                                    ",
•  AI in healthcare investment by segment Russia 2021 | Statista,"
                                                                            Oct 12, 2021
                                                                    ",
•  Italy: AI implementation plans 2020 | Statista,"
                                                                            Dec 3, 2021
                                                                    ",
•  Italy: AI implementation for digital transformation 2020 | Statista,"
                                                                            Dec 3, 2021
                                                                    ",
•  Italy: AI implementation by length of time 2020 | Statista,"
                                                                            Dec 3, 2021
                                                                    ",
"    • Digital health | Statista
",,
"    • Big data | Statista
",,
"    • IBM | Statista
",,
"    • Digital transformation | Statista
",,
"    • Virtual assistants | Statista
",,
"    • Impact of technology on travel and tourism | Statista
",,
"    • Edge computing | Statista
",,
"    • New technologies in e-commerce in France  | Statista
",,
•  U.S.: AI impact on cybersecurity for CX | Statista,"
                                                                            Oct 26, 2021
                                                                    ",
•  Global Artificial Intelligence in retail market size 2020 | Statista,"
                                                                            Sep 13, 2021
                                                                    ",
"•  Global organizations' reliance on machine learning, AI, and automation 2018 | Statista","
                                                                            Sep 10, 2021
                                                                    ",
•  Poland: apps and domains of AI 2021 | Statista,"
                                                                            Apr 20, 2021
                                                                    ",
•  Global recruiting trends: top uses for artificial intelligence 2017 | Statista,"
                                                                            Nov 4, 2020
                                                                    ",
"    • Artificial intelligence in the enterprise report 2017 | Statista
",,
Spreads & Sweeteners - Worldwide | Statista Market Forecast,,
"    • Autonomous Vehicles | Statista
",,
•  China: AI market size 2021 | Statista,"
                                                                            Sep 13, 2021
                                                                    ",
•  China: AI fundamental technology market size 2025 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  AI in U.S. companies: implementation plans 2021 | Statista,"
                                                                            Apr 27, 2021
                                                                    ",
•  China: value of AI investments 2020 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  India: number of AI patents filed 2020 | Statista,"
                                                                            Aug 5, 2021
                                                                    ",
•  Approaches to AI talent challenge in U.S. 2020 | Statista,"
                                                                            Apr 27, 2021
                                                                    ",
•  Japan: number of AI-related patent applications | Statista,"
                                                                            Sep 6, 2021
                                                                    ",
•  AI benefits on U.S. companies 2021 | Statista,"
                                                                            Apr 27, 2021
                                                                    ",
•  Responsible AI implementations in U.S. 2021 | Statista,"
                                                                            Apr 27, 2021
                                                                    ",
•  China: market share of AI industry by sector 2020 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  China: AI server market size 2024 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  AI investment by industry in Russia 2020 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  Japan: concern about a leak of personal information due to AI by age group 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  AI market size in Russia forecast 2024 | Statista,"
                                                                            Sep 9, 2021
                                                                    ",
•  Japan: opinion of managers regarding effect of COVID-19 on AI implementation 2020 | Statista,"
                                                                            Aug 20, 2021
                                                                    ",
•  Russian AI startup venture investment 2020 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  Japan: concern about manipulation of decision-making due to AI by age group 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  Japan: number of AI-related patent applications by main classification | Statista,"
                                                                            Aug 31, 2021
                                                                    ",
•  Japan: concern about employment due to AI by age group 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  Japan: opinion of managers regarding Japan's AI implementation progress 2020 | Statista,"
                                                                            Aug 20, 2021
                                                                    ",
•  China: leading AI investments 2020 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  Poland: companies that introduced AI 2020 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: companies using AI 2020 | Statista,"
                                                                            Apr 16, 2021
                                                                    ",
•  Poland: Location of AI companies 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
"•  Japan: concern about harm to life, body, or property due to AI by age group 2020 | Statista","
                                                                            Sep 6, 2021
                                                                    ",
•  Japan: concern about privacy violation due to AI by age group 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  Japan: concern about being ruled by AI by age group 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  AI market share by segment in Russia 2019 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  Russian AI startup venture deals 2020 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  China: forecasted AI hash rate requirements 2030 | Statista,"
                                                                            Aug 18, 2021
                                                                    ",
•  Japan: concern about unjust discrimination due to AI by age group 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  Japan: concern about damages due to unexpected decisions by AI by age group 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  Japan: concern about surveillance and selection due to AI by age group 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  China: leading AI investments 2020 | Statista,"
                                                                            Aug 19, 2021
                                                                    ",
•  India: share of AI patents filed by areas 2020 | Statista,"
                                                                            Aug 5, 2021
                                                                    ",
•  India: share of AI patents filed by techniques 2020 | Statista,"
                                                                            Aug 5, 2021
                                                                    ",
•  India: share of AI patents filed by assignee's business 2020 | Statista,"
                                                                            Aug 5, 2021
                                                                    ",
•  Distribution of AI startps by region Brazil 2021 | Statista,"
                                                                            Jul 2, 2021
                                                                    ",
•  AI investment and payoff in U.S. during COVID-19 | Statista,"
                                                                            Apr 27, 2021
                                                                    ",
"    • Artificial intelligence in finance 2016 | Statista
",,
•  China: scale of AI industry by segment | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  China: share of computer vision in AI industry 2020 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Poland: AI and Big Data adoption in companies 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Japan: leading companies AI-related patent applications 2021 | Statista,"
                                                                            Sep 1, 2021
                                                                    ",
•  Poland: Type of customers using AI 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: sectors where AI is applied 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: Challenges in implementing AI 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: Number of employees in AI companies 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: AI languages used by companies 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: AI tools and products used by companies 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: Revenues of AI companies 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Russia: most funded AI companies 2021 | Statista,"
                                                                            Nov 11, 2021
                                                                    ",
•  AI state funding in Russia 2020 | Statista,"
                                                                            Aug 11, 2021
                                                                    ",
"•  Global AR, VR, and AI sensor market 2017-2022 | Statista","
                                                                            Oct 18, 2016
                                                                    ",
•  India - employment share of AI professionals by company size 2019 | Statista,"
                                                                            Feb 17, 2021
                                                                    ",
•  Global military AI and cybernetics market share by region 2018 | Statista,"
                                                                            Dec 7, 2020
                                                                    ",
•  Global AI healthcare/agriculture patent publications 2008-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI healthcare/agriculture patent publications by research institution 2007-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Deep learning chip market worldwide 2018-2027 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
"    • Voice technology | Statista
",,
•  U.S. AI job postings by skill cluster 2020 | Statista,"
                                                                            Apr 15, 2021
                                                                    ",
•  Retail industry: use of AI technologies in France 2019 | Statista,"
                                                                            Jul 2, 2021
                                                                    ",
•  China: market share of AI speech by brand 2018 | Statista,"
                                                                            Nov 24, 2020
                                                                    ",
•  China: market size of AI speech 2018 | Statista,"
                                                                            Nov 24, 2020
                                                                    ",
"    • Artificial intelligence and industry - CEO survey 2016 | Statista
",,
•  Top-funded AI startups in the US 2021 | Statista,"
                                                                            May 21, 2021
                                                                    ",
•  Japan: AI system for diagnosis and treatment market size 2025 | Statista,"
                                                                            Feb 2, 2021
                                                                    ",
•  India: forecast for the share of AI-handled customer service 2021 | Statista,"
                                                                            May 27, 2021
                                                                    ",
•  China: AI algorithm market size 2025 | Statista,"
                                                                            Aug 19, 2021
                                                                    ",
•  Number of employees in AI projects in Russia 2019 | Statista,"
                                                                            Dec 11, 2020
                                                                    ",
•  Nordics: number of AI startups 2021 | Statista,"
                                                                            Apr 21, 2021
                                                                    ",
•  South Korea: SMEs technology adoption for AI 2019 | Statista,"
                                                                            Jun 7, 2021
                                                                    ",
•  Mentions of AI in U.S. congressional record 2020 | Statista,"
                                                                            May 5, 2021
                                                                    ",
•  Nordics: number of AI startups capital cities 2021 | Statista,"
                                                                            Apr 21, 2021
                                                                    ",
•  U.S. AI job postings by industry 2020 | Statista,"
                                                                            Apr 15, 2021
                                                                    ",
•  Revenue from AI technology in companies Russia 2019 | Statista,"
                                                                            Dec 11, 2020
                                                                    ",
•  China: AI integrated circuit market size 2025 | Statista,"
                                                                            Aug 19, 2021
                                                                    ",
•  Trust in AI in healthcare by age Russia 2021 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
•  UK: AI in legal services barriers 2021 | Statista,"
                                                                            Sep 29, 2021
                                                                    ",
•  AI subtechnologies offered for external sale Russia 2019 | Statista,"
                                                                            Dec 11, 2020
                                                                    ",
•  China: market share of AI inspection companies 2020 | Statista,"
                                                                            Aug 30, 2021
                                                                    ",
•  Poland: AI specialists by region 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: Cooperation between AI companies and academic community 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: Origin of capital of AI companies by type 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  Poland: International clients of AI companies by region 2021 | Statista,"
                                                                            Apr 13, 2021
                                                                    ",
•  China: most funded AI startups 2020 | Statista,"
                                                                            Nov 24, 2020
                                                                    ",
•  China: number of AI corporations by region 2020 | Statista,"
                                                                            Dec 7, 2020
                                                                    ",
•  APAC: per capita AI investment by country | Statista,"
                                                                            Jun 30, 2021
                                                                    ",
•  Expectations when AI will transform organizations/industry 2020 | Statista,"
                                                                            May 21, 2021
                                                                    ",
•  UAE: AI contribution by sector 2035 | Statista,"
                                                                            Jul 1, 2021
                                                                    ",
•  Top 20 Eastern European AI-ready countries 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Sweden: frequency of using AI in every-day life 2020 | Statista,"
                                                                            Dec 4, 2020
                                                                    ",
•  Japan: expectations on robots and AI replacing human workers by age group | Statista,"
                                                                            Sep 15, 2021
                                                                    ",
•  Japan: expectations on robots and AI replacing human workers by gender | Statista,"
                                                                            Sep 15, 2021
                                                                    ",
•  Japan: share of AI solutions among company IT investments 2022 | Statista,"
                                                                            Mar 18, 2021
                                                                    ",
•  Japan: leading obstacles regarding AI implementation at companies 2020 | Statista,"
                                                                            Mar 18, 2021
                                                                    ",
•  Top 20 Western European AI-ready countries 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Companies AI use for customer relations in France 2019 | Statista,"
                                                                            Jul 2, 2021
                                                                    ",
•  Companies AI use for developing products and services in France 2019 | Statista,"
                                                                            Jul 2, 2021
                                                                    ",
•  Funding of AI companies in Argentina 2020 | Statista,"
                                                                            Jul 2, 2021
                                                                    ",
