标题,时间,内容
•  AI server vendor market share worldwide 2020 | Statista,"
                                                                            Apr 9, 2021
                                                                    ",
•  Global AI startup funding 2012-2020 | Statista,"
                                                                            Aug 9, 2021
                                                                    ",
•  Global AI deal share by region 2021 | Statista,"
                                                                            Jul 30, 2021
                                                                    ",
•  AI startup funding deals worldwide 2014-2021 | Statista,"
                                                                            Jul 30, 2021
                                                                    ",
•  Global AI healthcare startup funding 2020 | Statista,"
                                                                            May 10, 2021
                                                                    ",
•  Ethical AI policy implementation by industry 2021 | Statista,"
                                                                            Dec 6, 2021
                                                                    ",
•  Type/size of unstructured data developers use 2021 | Statista,"
                                                                            Aug 24, 2021
                                                                    ",
•  Time stage distribution of AI deals worldwide 2021 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
"•  Number of AI exits worldwide 2021, by type | Statista","
                                                                            Dec 8, 2021
                                                                    ",
•  Number of AI unicorns worldwide Q2 2019-Q2 2021 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Outcomes of AI-enabled marketing worldwide 2020 | Statista,"
                                                                            Apr 20, 2021
                                                                    ",
•  AI capabilities deployed in standard business processes 2020 | Statista,"
                                                                            Apr 22, 2021
                                                                    ",
•  AI adoption in global companies: revenue increases 2019 | Statista,"
                                                                            Dec 10, 2020
                                                                    ",
"    • Artificial Intelligence in Scandinavia | Statista
",,
•  Global impact of artificial intelligence on GDP by region 2030 | Statista,"
                                                                            Jul 1, 2019
                                                                    ",
"    • AI use in marketing | Statista
",,
•  Global AI hiring index by country 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  AI job postings by country 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  AI adoption in financial services sector 2021 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  COVID-19 change in AI investments of financial services | Statista,"
                                                                            Jun 28, 2021
                                                                    ",
•  AI ethical concerns in financial services 2021 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Benefits of AI adoption in financial services 2021 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  AI adoption pace in financial services 2021 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Global AI journal publications by region 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  Types of data AI/ML/DS developers work with 2021 | Statista,"
                                                                            Aug 24, 2021
                                                                    ",
•  Importance of AI in financial services 2020 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Global AI conference publications by region 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  Global AI patent publications by region 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  AI challenges in financial services 2020 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Financial services: revenue impact of AI 2020 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Global military AI market revenue by service 2024 | Statista,"
                                                                            May 27, 2021
                                                                    ",
•  Automotive AI global market size | Statista,"
                                                                            Nov 17, 2021
                                                                    ",
•  Global spending on automation and AI business operations 2016-2023 | Statista,"
                                                                            May 3, 2021
                                                                    ",
•  AI adoption in global companies: cost decreases 2019 | Statista,"
                                                                            Dec 10, 2020
                                                                    ",
•  Top 20 AI-ready governments worldwide 2020 | Statista,"
                                                                            Apr 27, 2021
                                                                    ",
•  Leading owners of machine learning & AI patents 2011-2020 | Statista,"
                                                                            Aug 24, 2021
                                                                    ",
•  Global AI energy market CAGR 2019-2024 | Statista,"
                                                                            Jan 29, 2021
                                                                    ",
•  Top 10 most valuable private AI companies 2020 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  COVID impact on AI investment levels 2020 | Statista,"
                                                                            Jan 7, 2021
                                                                    ",
•  Largest AI-powered company exits  | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Share of countries adopting AI surveillance by region worldwide 2019 | Statista,"
                                                                            Apr 16, 2020
                                                                    ",
•  Retail investor interest in AI funds worldwide | Statista,"
                                                                            May 4, 2021
                                                                    ",
•  Global AI energy market shares 2019 | Statista,"
                                                                            Jan 29, 2021
                                                                    ",
•  Global AI healthcare deals 2015-2020 | Statista,"
                                                                            Dec 3, 2020
                                                                    ",
•  Investor interest in AI funds worldwide  | Statista,"
                                                                            May 4, 2021
                                                                    ",
•  Change in AI investment due to COVID-19 by industry | Statista,"
                                                                            Jul 27, 2021
                                                                    ",
•  Popularity of AI in marketing worldwide 2020 | Statista,"
                                                                            Jun 29, 2021
                                                                    ",
"    • AI in China | Statista
",,
•  Top enterprise AI use cases 2020 | Statista,"
                                                                            Aug 27, 2021
                                                                    ",
•  Global artificial intelligence (AI) revenue by segment 2015-2025 | Statista,"
                                                                            Jul 11, 2018
                                                                    ",
•  Leading AI use case in global enterprises 2020 | Statista,"
                                                                            Sep 17, 2020
                                                                    ",
•  AI jobs in top 12 GDP countries 2019 | Statista,"
                                                                            Mar 16, 2021
                                                                    ",
•  Home countries/regions of top-tier AI researchers | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  Business drivers for AI enterprise adoption 2020 | Statista,"
                                                                            Aug 27, 2021
                                                                    ",
•  Country of origin of top-tier U.S. AI researchers | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  Locations of top-tier AI researchers 2019 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  Global artificial intelligence (AI) market revenue 2015-2024 | Statista,"
                                                                            Feb 26, 2019
                                                                    ",
•  Global artificial intelligence and process automation spending 2021 | Statista,"
                                                                            Mar 12, 2019
                                                                    ",
•  Global artificial intelligence (AI) revenue share by end market 2015 | Statista,"
                                                                            Oct 19, 2016
                                                                    ",
•  Global change in business processes from AI 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Reasons for adopting AI in global organizations 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  AI used in investment banking worldwide 2020 | Statista,"
                                                                            Sep 15, 2021
                                                                    ",
•  Integration modes of humans and AI worldwide 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Maturity of AI implementation by sector worldwide 2020 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  Global leading industrial AI use cases by market share 2018 | Statista,"
                                                                            Apr 30, 2021
                                                                    ",
•  HPC AI revenue 2018-2024 | Statista,"
                                                                            Apr 12, 2021
                                                                    ",
•  Financial services: benefits from AI adoption 2020 | Statista,"
                                                                            Jun 28, 2021
                                                                    ",
•  AI software platforms global vendor share 2019 | Statista,"
                                                                            Dec 3, 2021
                                                                    ",
•  AI software platforms revenue by vendor 2019 | Statista,"
                                                                            Dec 3, 2021
                                                                    ",
"•  Automation, AI, and smart analytics by industry 2020 | Statista","
                                                                            Nov 19, 2021
                                                                    ",
•  Global business and HR leaders on AI impact to job numbers 2020 | Statista,"
                                                                            May 17, 2021
                                                                    ",
•  Financial services: barriers to AI adoption 2020 | Statista,"
                                                                            Jun 28, 2021
                                                                    ",
•  Global AI business strategy 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
"•  Automation, AI, and smart analytics by region 2020 | Statista","
                                                                            Nov 19, 2021
                                                                    ",
