户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途
2室1厅,低楼层/共15层,96.29平米,平层/精装,399.0,前进花园牡丹苑,顺义,东南,有,2021年11月10日 ,普通住宅 
1室1厅,底层/共18层,60.61平米,平层/简装,269.0,福润四季B区,朝阳,东北,有,2021年11月10日 ,普通住宅 
1室1厅,高楼层/共16层,91平米,平层/精装,865.0,温莎大道,朝阳,北,有,2021年11月10日 ,普通住宅 
3室1厅,中楼层/共6层,69.2平米,平层/简装,428.0,十里堡北里,朝阳,南北,无,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共16层,74.9平米,平层/简装,670.0,蓟门东里,海淀,东北,有,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共15层,71.17平米,平层/精装,312.0,金隅七零九零,通州,南,有,2021年11月10日 ,普通住宅 
2室1厅,顶层/共6层,50.6平米,平层/简装,475.0,铁东小区,海淀,南,无,2021年11月10日 ,普通住宅 
3室1厅,低楼层/共16层,88.87平米,平层/精装,409.0,润枫领尚,通州,南北,有,2021年11月10日 ,普通住宅 
2室1厅,顶层/共12层,59.6平米,平层/精装,598.0,紫竹院南路14号院,海淀,南,有,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共24层,104.05平米,平层/简装,475.0,金顶街五区,石景山,西南,有,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共32层,93.44平米,平层/精装,429.0,天通西苑三区,昌平,南,有,2021年11月09日 ,普通住宅 
2室1厅,高楼层/共12层,78.05平米,平层/简装,575.0,草桥欣园三区,丰台,南北,有,2021年11月09日 ,普通住宅 
2室1厅,高楼层/共6层,62.02平米,平层/精装,89.0,亚新一里,房山,南,无,2021年11月05日 ,普通住宅 
2室1厅,顶层/共6层,76.58平米,平层/精装,382.0,育芳园,丰台,南北,无,2021年11月09日 ,普通住宅 
2室1厅,底层/共4层,80.78平米,平层/简装,940.0,仓南胡同,东城,东西,无,2021年11月09日 ,普通住宅 
2室1厅,低楼层/共6层,89.94平米,平层/简装,460.0,西六砖瓦厂家属楼,海淀,南北,无,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共5层,56.85平米,平层/简装,425.0,新源西里中街,朝阳,南北,无,2021年11月09日 ,普通住宅 
3室1厅,中楼层/共10层,93.21平米,平层/简装,379.0,珠江丽景家园,通州,南,有,2021年11月09日 ,普通住宅 
3室1厅,中楼层/共17层,113.96平米,平层/精装,675.0,北京北,昌平,南北,有,2021年11月09日 ,普通住宅 
2室1厅,高楼层/共22层,66.78平米,平层/简装,485.0,西坝河南里,朝阳,西南西北,有,2021年11月09日 ,普通住宅 
1室1厅,中楼层/共7层,66.24平米,平层/简装,405.0,龙禧苑一区,昌平,南北,无,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共6层,90.56平米,平层/简装,236.0,碧桂园小区A区,房山,南北,无,2021年11月09日 ,普通住宅 
1室1厅,低楼层/共3层,46.39平米,平层/简装,385.0,永泰西里,海淀,南,无,2021年11月09日 ,普通住宅 
1室1厅,高楼层/共21层,59.82平米,平层/精装,230.0,首创·美澜湾F区,大兴,南,有,2021年11月09日 ,普通住宅 
3室1厅,中楼层/共5层,71平米,平层/精装,299.0,黄村西里,大兴,南北,无,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共6层,74.19平米,平层/精装,629.0,永泰西里,海淀,南北,无,2021年11月09日 ,普通住宅 
3室1厅,底层/共6层,101.62平米,平层/精装,343.0,仓上小区,顺义,南北,无,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共5层,53.5平米,平层/精装,175.0,东山坡二里,丰台,南北,无,2021年11月09日 ,普通住宅 
2室1厅,高楼层/共17层,97.65平米,平层/精装,918.0,北太平庄路2号院,海淀,南北,无,2021年11月09日 ,普通住宅 
3室2厅,低楼层/共9层,153.34平米,平层/精装,1200.0,万科紫苑,丰台,南北,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共19层,72.23平米,平层/简装,369.0,弘善家园,朝阳,东北,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共16层,60.21平米,平层/简装,490.0,光熙门北里,朝阳,南,有,2021年11月09日 ,普通住宅 
3室2厅,高楼层/共27层,123.46平米,平层/精装,1360.0,太月园,海淀,东南,有,2021年11月09日 ,普通住宅 
1室1厅,高楼层/共16层,71.38平米,平层/精装,310.0,金隅七零九零,通州,南,有,2021年11月09日 ,普通住宅 
3室1厅,中楼层/共6层,61.85平米,平层/精装,510.0,南沙滩小区,朝阳,北南东,无,2021年11月09日 ,普通住宅 
3室1厅,中楼层/共22层,117.67平米,平层/简装,1200.0,红莲晴园,西城,南西,有,2021年11月09日 ,普通住宅 
2室1厅,高楼层/共10层,58.52平米,平层/精装,369.0,劲松七区,朝阳,南北,无,2021年11月09日 ,普通住宅 
3室2厅,高楼层/共6层,109.29平米,平层/精装,835.0,澳林春天一期,朝阳,南北,无,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共6层,78.88平米,平层/简装,239.0,郝庄家园西区,昌平,南北,无,2021年11月09日 ,普通住宅 
3室2厅,顶层/共12层,118.4平米,平层/简装,455.0,怡馨家园,顺义,南北,有,2021年11月09日 ,普通住宅 
2室1厅,底层/共5层,47.9平米,平层/简装,605.0,南礼士路甲1号,西城,南,无,2021年11月09日 ,普通住宅 
2室1厅,高楼层/共6层,73.09平米,平层/简装,750.0,东四十条,东城,东北,无,2021年11月09日 ,普通住宅 
2室1厅,高楼层/共27层,93.27平米,平层/毛坯,730.0,芍药居北里,朝阳,西,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共24层,66.1平米,平层/简装,460.0,兴隆家园,朝阳,东南,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共18层,83.72平米,平层/精装,1058.0,远洋万和城B区,朝阳,东北,有,2021年11月09日 ,普通住宅 
1室1厅,底层/共6层,40.65平米,平层/简装,223.0,西罗园四区,丰台,东,无,2021年11月09日 ,普通住宅 
3室1厅,中楼层/共6层,74.58平米,平层/精装,540.0,曙光西里,朝阳,东南西北,无,2021年11月09日 ,普通住宅 
1室1厅,低楼层/共18层,68.64平米,平层/精装,349.0,郁花园三里,大兴,南,有,2021年11月09日 ,普通住宅 
1室1厅,高楼层/共8层,57.36平米,平层/简装,355.0,沿海赛洛城五期,朝阳,东,有,2021年11月09日 ,普通住宅 
2室1厅,顶层/共6层,57.86平米,平层/简装,560.0,白桥大街,东城,东西,无,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共23层,84.3平米,平层/精装,530.0,鸿坤理想城曦望山,大兴,南,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共8层,96.79平米,平层/简装,620.0,新龙城,昌平,南北,有,2021年11月09日 ,普通住宅 
3室1厅,中楼层/共20层,78.81平米,平层/精装,940.0,翠微西里,海淀,东南西北东北,有,2021年11月09日 ,普通住宅 
1室0厅,顶层/共14层,39.32平米,平层/简装,175.0,银地家园,丰台,西,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共7层,73.38平米,平层/简装,432.0,杨庄北区,石景山,南北,无,2021年11月09日 ,普通住宅 
3室1厅,低楼层/共6层,128.08平米,平层/精装,598.0,龙腾苑四区,昌平,南北,无,2021年11月09日 ,普通住宅 
2室1厅,高楼层/共30层,97.18平米,平层/简装,386.0,优士阁,朝阳,西南,有,2021年11月09日 ,普通住宅 
2室1厅,低楼层/共6层,63.2平米,平层/精装,518.0,动力厂宿舍,海淀,南北,无,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共6层,57.34平米,平层/精装,495.0,惠新里小区,朝阳,南北,无,2021年11月09日 ,普通住宅 
1室1厅,中楼层/共21层,48.2平米,平层/精装,260.0,御景春天C区,丰台,南西,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共13层,135.31平米,平层/简装,1390.0,亮马名居,朝阳,南北,有,2021年11月09日 ,普通住宅 
2室0厅,低楼层/共6层,42.9平米,平层/简装,398.0,金沟河路15号院,海淀,南北,无,2021年11月09日 ,普通住宅 
2室1厅,顶层/共11层,86.28平米,平层/精装,506.0,流星花园三区,昌平,西南,有,2021年11月09日 ,普通住宅 
2室1厅,顶层/共6层,57.7平米,暂无数据/简装,295.0,七里庄路,丰台,南北,无,2021年11月09日 ,普通住宅 
3室1厅,中楼层/共6层,75.61平米,平层/精装,420.0,西马金润二区,丰台,南北,无,2021年11月09日 ,普通住宅 
3室1厅,低楼层/共18层,97.45平米,平层/简装,1130.0,本家润园C区,东城,东南,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共6层,69.41平米,平层/精装,220.0,郝庄家园,昌平,南北,无,2021年11月09日 ,普通住宅 
3室1厅,高楼层/共11层,88.22平米,平层/精装,219.0,华远澜悦,密云,南北,有,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共5层,47.6平米,平层/毛坯,588.0,朝阳庵,西城,南,无,2021年11月09日 ,普通住宅 
2室1厅,中楼层/共6层,60.57平米,平层/简装,285.0,永乐西区,石景山,东,无,2021年11月09日 ,普通住宅 
2室1厅,低楼层/共18层,74.91平米,平层/简装,735.0,莱圳家园,海淀,南,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共21层,107.77平米,平层/简装,618.0,建工家园,朝阳,南,有,2021年11月08日 ,普通住宅 
2室1厅,低楼层/共18层,73.48平米,平层/精装,368.0,北街家园五区,昌平,南,有,2021年11月08日 ,普通住宅 
2室1厅,高楼层/共27层,97.28平米,平层/精装,615.0,融泽嘉园,昌平,南北,有,2021年11月08日 ,普通住宅 
2室1厅,低楼层/共27层,74.75平米,平层/精装,525.0,万年花城四期,丰台,东北,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共8层,113.57平米,平层/精装,656.0,芳群公寓,丰台,西,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共20层,83.17平米,平层/精装,580.0,京投银泰万科西华府,丰台,南北,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共16层,57.72平米,平层/简装,442.0,金台里,朝阳,东南,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共15层,102.28平米,平层/精装,640.0,三环新城8号院,丰台,西南,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共34层,76.7平米,平层/简装,388.0,广安﹒康馨家园,丰台,南北,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共6层,57.09平米,平层/简装,245.0,双桥六号井,朝阳,北南,无,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共19层,113.65平米,平层/简装,755.0,雍景四季,石景山,南,有,2021年11月08日 ,普通住宅 
2室1厅,低楼层/共6层,56.69平米,平层/简装,357.0,太平桥西里,丰台,南北,无,2021年11月08日 ,普通住宅 
2室2厅,中楼层/共4层,91.25平米,平层/精装,385.0,绣江南,通州,南北,无,2021年11月08日 ,普通住宅 
2室2厅,中楼层/共22层,78.82平米,平层/精装,415.0,金隅悦和园,朝阳,南,有,2021年11月08日 ,普通住宅 
2室1厅,顶层/共24层,88.12平米,平层/精装,600.0,兴隆家园,朝阳,南,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共6层,57.12平米,平层/精装,355.0,六里桥7号院,丰台,南北,无,2021年11月08日 ,普通住宅 
4室2厅,高楼层/共19层,193.79平米,平层/精装,2150.0,融科橄榄城二期,朝阳,南北,有,2021年11月08日 ,普通住宅 
1室0厅,高楼层/共21层,48.73平米,平层/简装,289.0,晶都国际,朝阳,东北,有,2021年11月08日 ,普通住宅 
2室1厅,高楼层/共21层,79.08平米,平层/精装,365.0,翠成馨园E区,朝阳,东南,有,2021年11月08日 ,普通住宅 
3室0厅,中楼层/共4层,66.2平米,平层/简装,960.0,新外大街甲8号院,西城,东西,无,2021年11月08日 ,普通住宅 
1室0厅,高楼层/共6层,33.87平米,平层/精装,299.0,安苑东里一区,朝阳,南,有,2021年11月08日 ,普通住宅 
2室1厅,底层/共5层,45.59平米,平层/精装,430.0,天坛东里中区,东城,东西北,无,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共15层,71.94平米,平层/精装,330.0,玉桥东里,通州,北南,有,2021年11月08日 ,普通住宅 
1室1厅,低楼层/共6层,41.95平米,平层/简装,398.0,安乐林路,东城,南,无,2021年11月08日 ,普通住宅 
3室1厅,中楼层/共6层,57.9平米,平层/精装,565.0,学院南路8号,海淀,南北,无,2021年11月08日 ,普通住宅 
2室0厅,底层/共4层,67.5平米,平层/精装,650.0,展览路,西城,东北,无,2021年11月08日 ,普通住宅 
2室1厅,低楼层/共15层,90.7平米,平层/精装,820.0,康宁居,丰台,西南,有,2021年11月08日 ,普通住宅 
2室1厅,高楼层/共6层,80.53平米,平层/精装,370.0,瑞祥里,朝阳,南北,无,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共6层,57.8平米,平层/简装,560.0,七贤村,海淀,南北,无,2021年11月08日 ,普通住宅 
1室1厅,低楼层/共28层,57.14平米,平层/精装,380.0,炫特嘉园二期,朝阳,东南,有,2021年11月08日 ,普通住宅 
3室1厅,低楼层/共6层,144.8平米,平层/简装,699.0,流星花园三区,昌平,南北,有,2021年11月08日 ,普通住宅 
3室2厅,底层/共7层,141.85平米,平层/精装,1360.0,金雅园南区,海淀,南北,有,2021年11月08日 ,普通住宅 
3室2厅,低楼层/共6层,141.79平米,平层/精装,680.0,龙兴园中区,昌平,南北,无,2021年11月08日 ,普通住宅 
2室1厅,高楼层/共28层,74.38平米,平层/精装,518.0,万科金域东郡,大兴,南北,有,2021年11月08日 ,普通住宅 
4室1厅,低楼层/共22层,142.36平米,平层/精装,1466.0,和平西苑,朝阳,南,有,2021年11月08日 ,普通住宅 
1室1厅,中楼层/共11层,69.41平米,平层/简装,486.0,炫特嘉园三期,朝阳,南北,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共6层,69.92平米,平层/精装,419.0,龙华园,昌平,南北,无,2021年11月08日 ,普通住宅 
2室1厅,顶层/共9层,82.76平米,平层/简装,650.0,卡布其诺,朝阳,南北,有,2021年11月08日 ,普通住宅 
3室2厅,中楼层/共9层,88.92平米,平层/精装,565.0,远洋一方花语苑,朝阳,南北,有,2021年11月08日 ,普通住宅 
2室1厅,低楼层/共18层,89平米,平层/简装,390.0,彩虹新城,大兴,西北,有,2021年11月08日 ,普通住宅 
2室1厅,中楼层/共5层,59平米,平层/简装,730.0,阜成门外北街,西城,南北,无,2021年11月08日 ,普通住宅 
2室1厅,低楼层/共16层,54.82平米,平层/简装,358.0,芳星园三区,丰台,东西,有,2021年11月08日 ,普通住宅 
2室2厅,高楼层/共18层,80.01平米,暂无数据/精装,525.0,国美第一城2号院,朝阳,东,有,2021年11月08日 ,普通住宅 
2室2厅,顶层/共27层,86.36平米,平层/精装,429.0,北辰福第一号院,朝阳,南北,有,2021年11月08日 ,普通住宅 
3室1厅,低楼层/共21层,105.06平米,平层/精装,935.0,苹果社区南区,朝阳,西南,有,2021年11月08日 ,普通住宅 
3室2厅,顶层/共6层,93.11平米,平层/简装,726.0,育新花园,海淀,南北,无,2021年11月07日 ,普通住宅 
2室1厅,低楼层/共6层,72.53平米,平层/精装,339.0,管庄西里,朝阳,南北,无,2021年11月07日 ,普通住宅 
1室1厅,低楼层/共24层,62.63平米,平层/精装,327.0,重聚园,石景山,西南,有,2021年11月07日 ,普通住宅 
3室1厅,底层/共5层,67.4平米,平层/精装,705.0,西三环北路27号院,海淀,南北,无,2021年11月07日 ,普通住宅 
2室1厅,中楼层/共23层,70.42平米,平层/简装,460.0,建茗苑,丰台,东南,有,2021年11月07日 ,普通住宅 
2室1厅,中楼层/共6层,57.8平米,暂无数据/精装,335.0,地质勘查大院,昌平,南北,无,2021年11月07日 ,普通住宅 
2室1厅,高楼层/共6层,59.49平米,平层/简装,440.0,左家庄东里,朝阳,东南西北,无,2021年11月07日 ,普通住宅 
1室1厅,低楼层/共18层,46.91平米,平层/简装,325.0,华威西里,朝阳,南,有,2021年11月07日 ,普通住宅 
2室1厅,中楼层/共12层,106.81平米,平层/简装,738.0,世华水岸F区,丰台,北南,有,2021年11月07日 ,普通住宅 
2室1厅,中楼层/共26层,87.61平米,平层/精装,765.0,金都杭城东区,朝阳,南,有,2021年11月07日 ,普通住宅 
3室1厅,中楼层/共9层,133.28平米,平层/简装,505.0,成和园,大兴,南北,有,2021年11月07日 ,普通住宅 
2室1厅,顶层/共6层,52.63平米,暂无数据/精装,530.0,小红庙,西城,南,无,2021年11月07日 ,普通住宅 
2室1厅,中楼层/共7层,104.02平米,平层/简装,459.0,天通苑中苑,昌平,南北,无,2021年11月07日 ,普通住宅 
2室1厅,高楼层/共19层,93.77平米,平层/精装,1050.0,富力城C区,朝阳,北,有,2021年11月07日 ,普通住宅 
2室1厅,中楼层/共21层,103.69平米,平层/精装,565.0,柏林爱乐二期,朝阳,南,有,2021年11月07日 ,普通住宅 
3室2厅,低楼层/共14层,173.81平米,平层/精装,630.0,天通西苑三区,昌平,南北,有,2021年11月07日 ,普通住宅 
2室2厅,底层/共9层,106.57平米,平层/精装,998.0,北京印象,海淀,南北,有,2021年11月07日 ,普通住宅 
