标题,作者,时间,内容,文章链接
@滨海人！警惕这种诈骗套路…,滨海论坛,"
2022-04-26 11:38:13",告知实习生误操作列入批发代理商电话要求绑定银行卡输入验证码一系列指引操作那么你要当心了赶紧绷紧反诈防骗的这根弦案件 · 回放不好意思，我们后台误把您升级为代理商了，如果不及时取消，以后每个月都要向您收取代理费。今年4月，家住滨海县正红镇的林女士接到某宝“客服”电话该“客服”告诉林女士由于刚来的实习生不慎操作误将她开通成该平台的代理商而“客服”此番通话正是为了帮助林女士“解绑”否则后续将面临每月自动,https://www.163.com/dy/article/H5SJHRLT0552QKTN.html
上高警方成功阻止两起电信网络诈骗,会长大叔,"
2022-04-27 23:12:53",4月26日12时40分许，上高县公安局反诈中心通过预警平台发现户籍为敖山镇的一位居民正在接听诈骗电话，并拒接96110的预警电话。反诈中心立即启动紧急劝阻机制，经研判发现其在上高县敖山镇中杰鞋厂工作。反诈中心立即指派敖山派出所预警处置，敖山派出所民警陈全立即前往中杰鞋厂找到该员工，了解到该员工于4月26日中午12时许接到一个自称为公安局办公人员的电话，并询问了该员工的日常生活信息及使用银行卡的情况,https://www.163.com/dy/article/H60DMHL805496YZA.html
解密缅北东南亚的诈骗团伙诈骗套路！投资小心，切勿被骗！,鸿鼎在线,"
2022-04-27 13:46:21",,https://www.163.com/dy/article/H5VD95160539MMCO.html
两周劝阻三起诈骗案件！莘县柿子园派出所有成功劝阻一起冒充军警购物类诈骗,大众网,"
2022-04-26 15:03:06",大众网·海报新闻记者 马鑫超 通讯员 刘鹏 聊城报道莘县市民王先生在柿子园镇从事餐饮行业。4月22日，他收到一位陌生人打来的电话。对方称其是一名武警部队干部，部队拉练需要订餐服务，随后双方添加微信好友。23日，这位自称武警部队干部的人将印有“中国人民武装警察部队”采购的清单发给王先生，骗取了王先生的信任。但王先生经营的店中没有“采购清单”中所列的“海洋牌自热米饭”。随即该人又给王先生发来一个微信号,https://www.163.com/dy/article/H5SV909K0514R9KU.html
利用迷信诈骗独居老人，法院这样判,南宁市西乡塘区人民法院,"
2022-04-27 22:58:18",做法事能治病吗？近日，南宁市西乡塘区人民法院依法审结一起利用封建迷信诈骗独居老人案，依法判决李某等人有期徒刑一年二个月至七个月，并处罚金三千元至二千元不等的刑事处罚。案情回顾2021年2月1日10时许，被告人李某在西乡塘区新阳路看到80多岁的被害人王某，便假冒是王某的熟人与王某搭讪。后李某与冒名为“张老师”的被告人陈某打招呼并问“中风老人”的情况，陈某说老中医“黄教授”治好了。李某就说叫陈某带去，,https://www.163.com/dy/article/H60CRQJP0514JN59.html
警惕这种骗局：三甲医院门口“组团”诈骗,信息新报,"
2022-04-26 21:08:48",突然有位大师跑来给你算命，还说你有血光之灾，相信大多数人都能判断：这肯定是骗子！然而，若是在医院周边出现一名自称“知天命”的神算大师，声称可以帮你及家人消灾免祸、手到病除，围观路人交口称赞，你还能忍得住好奇心、不上前看一眼算一卦吗？今天，记者从南京市鼓楼区人民法院了解到，该院刚审结了一起这样的组团诈骗案。2019年9月起，被告人李某、王某伙同缪某、逯某、张某、崔某等六人在市区多家三甲医院附近，由逯,https://www.163.com/dy/article/H5TK6K0O0552ADWT.html
2021年无业女假扮空姐诈骗数百万，被抓后反问：“我诈骗谁了？”,摸着天时尚,"
2022-04-27 02:38:06",“你是邱某吧？”“怎么了？涉嫌诈骗？我诈骗谁了？”穿着睡衣的年轻女子面对身穿制服的长宁警方的询问一脸懵圈。长宁警方将女子劝回房中，继续询问：“保时捷是什么型号的？”邱某：“帕拉梅拉”警方：“钱哪里来的？”邱某：“男朋友给的”警方：“哪个男朋友？”此时，邱某显得有些手足无措，停顿了三秒后回答道：“施某”然而，令施某怎么也没想到的是，他百依百顺、有求必应的空姐女友，却是只有高中文化程度的无业女。究竟是,https://www.163.com/dy/article/H5U71H1805523IC9.html
团伙冒充多种身份“引流”诈骗 广州黄埔警方捣毁一个诈骗窝点,广州公安,"
2022-04-27 23:10:36",居民楼内隐藏了无营业执照“公司”，员工们玩起角色扮演，化身“专业股票客服”“订百人团体餐人员”，背后竟是为诈骗团伙“引流”铺路……近日，广州黄埔警方捣毁这个诈骗窝点，抓获5名犯罪嫌疑人，现场缴获作案手机、电话卡、电脑一批。仅用两天 捣毁“引流”诈骗窝点3月28日，黄埔警方在工作中发现，一个冒充身份“引流”的诈骗团伙在黄埔辖区内频繁活动。掌握这一线索后，黄埔警方立即安排专人开展侦查，迅速查清了该团伙,https://www.163.com/dy/article/H60DIC570514FGKM.html
政法战“疫”（八）：男子以代购香烟实施诈骗，青浦警方重拳出击破获一起诈骗案,绿色青浦,"
2022-04-26 17:00:48",当前，全市人民同心抗疫，然而一些不法分子却借机敛财，以代购香烟为幌子实施诈骗。近日，青浦警方快速出击，破获一起代购香烟诈骗案，抓获一名犯罪嫌疑人。近日，重固派出所接到李某报警称，4月7日晚，其在一短视频平台刷到一条售卖香烟的广告，因疫情原因已经很久没买到香烟，于是便私信了发布者并添加了其微信。一开始李某抱着半信半疑的态度咨询。但对方表示有送货渠道，展示了近期交易香烟的转账记录、各类香烟的价格明细。,https://www.163.com/dy/article/H5T60H40053494QU.html
教你十大公式，远离电信诈骗,熊熊82021,"
2022-04-26 15:40:31",强烈建议大家熟记以下十个公式答应我请一定记住它好吗？公式一当你突然接到自称公检法等机构来电说你涉嫌违法，并要求你将资金转入安全账户时，百分之百是诈骗！公式二网恋交友+介绍投资=诈骗此乃“杀猪盘”，诈骗分子会利用网络交友，以情感为诱饵慢慢取得你的信任，为你画两个人未来蓝图为借口，诱导你投资赌博，资金一去不复返！公式三做第一单任务时骗子会小额返利，诱导加大本金刷单，多次刷单后骗子就会以各种理由拒绝返还,https://www.163.com/dy/article/H5T1DD1D0552E5SN.html
【防范电信网络诈骗】关爱老年人，防范电信诈骗！,邹鲁融媒,"
2022-04-24 20:46:03",如今的时代是信息的时代，骗子也充分利用了信息通讯来诈骗他人钱财，所以广大市民尤其是中老年人，在日常生活中一定要树立防范电信诈骗的意识。电信诈骗是指通过电话、网络和短信方式，编造虚假信息，设置骗局，对受害人实施远程、非接触式诈骗，诱使受害人打款或转账的犯罪行为，通常以冒充他人及仿冒、伪造各种合法外衣和形式的方式达到欺骗的目的，如冒充公检法、商家公司厂家、国家机关工作人员、银行工作人员等各类机构工作人,https://www.163.com/dy/article/H5OE3H720550H84U.html
事关打击养老诈骗！哈密市线索举报方式公布！,哈密零距离,"
2022-04-26 20:47:24",根据全国统一部署，哈密市从4月中旬起到10月中旬，在全市范围内开展为期半年的打击整治养老诈骗专项行动，重点打击以提供“养老服务”、投资“养老项目”、销售“养老产品”、宣称“以房养老”、代办“养老保险”、开展“养老帮扶”等为名实施诈骗、侵害老年人合法权益的各类违法犯罪，重点整治针对老年人的涉诈骗APP、非法养老服务机构、商品房虚假宣传、涉老旅游项目和艺术品经营、无资质医疗机构擅自诊疗、涉老“保健品”,https://www.163.com/dy/article/H5TIVDQ80514MLPS.html
防范电信诈骗 | 电信诈骗案例解析来了！,法治洛川,"
2022-04-27 21:21:31",电信网络诈骗以30%的增速在增长电信网络诈骗案犯案量逼近60万年经济损失高达200亿元左右更可怕的是在低成本与高收益的诱惑下诈骗手段逐渐从群发式行骗发展为靶向性精准行骗电信诈骗通常以远程网络化、非接触的方式实施诈骗面临着举证难，追赃更难的诸多问题虚假消息类案例一2019年11月5日，小王同学手机收到一条短信，内容是：“尊敬的商户您好！由于购物平台网络系统升级，请您及时点击以下网址认证账号信息，ww,https://www.163.com/dy/article/H607AKI30514MT66.html
娄底市全面启动打击整治养老诈骗专项行动,红网,"
2022-04-27 22:04:05",此次专项行动分宣传发动、打击整治、总结提升3个关键环节。各地各成员单位将全面发起打击整治养老诈骗新一轮强大攻势，确保取得打击、整治、教育、制度等“四大成效”。尽快依法打掉一批养老诈骗犯罪团伙，严惩一批违法犯罪分子，有效遏制养老诈骗违法犯罪，进一步形成高压震慑；集中解决一批群众反映强烈的养老领域涉诈问题，整治规范一批养老领域经营不规范、存在诈骗苗头隐患的机构、企业，切实防控因养老诈骗引发的涉稳风险；,https://www.163.com/dy/article/H609OHP30514EV7Q.html
筑牢防电信诈骗安全线，守护群众“钱袋子”,金羊网,"
2022-04-27 21:42:04",近日，工行广州黄埔中山大道中支行员工凭借敏锐的职业警觉和高度的责任感，成功拦截了一笔电信诈骗，为客户挽回经济损失2万元，获得客户感谢与点赞。面对电信诈骗风险高发，该行积极履行社会责任，切实维护金融消费者的合法权益，守住老百姓的“钱袋子”。事发当天，一位年过六旬的女性客户拿着定期存折，急匆匆地前来工行广州黄埔中山大道中支行办理定期支取与汇款业务。该行厅堂客服经理询问阿姨是否认识对方，客户点头表示肯定,https://www.163.com/dy/article/H608G8B40514R9OM.html
这些都是诈骗！请擦亮双眼！本条速转父母→,厦门掌上通,"
2022-04-27 23:03:58",但是夕阳红的风景下也有危险在慢慢靠近……专门针对老年人的诈骗犯罪一直屡见不鲜骗子将目标锁定在老年人群体集美的老陈这几天就接到了老陈一听对方的声音第二天，这位“女婿”（△来源：网络）没有再次确认“女婿”提供的银行账户并询问“女婿”何时能回来“女婿”表示自己大概要三日后才能被放出来老陈只好在家里等啊等……时间一天天过去老陈却始终不见“女婿”归来的身影老陈急忙询问女婿关于打架的事情老陈这才发现自己被骗了,https://www.163.com/dy/article/H60D66PP05372HIN.html
网络刷单不可信，警惕诈骗！,新余高新,"
2022-04-27 08:54:26",近期刷单案件持续高发，作案手法犹如病毒不断变异，且发案高，金额大！刷单有很多别称：点赞员，网络兼职，做任务，圈粉加关注一起来了解下一、作案手法第一步 分析潜在对象，广泛撒网网络刷单诈骗犯罪的被害人以学生、无业或低收入群体为主，他们大多收入较低而时间充裕。骗子会在这类群体喜欢用的聊天、交友APP，各类短视频平台上发布兼职刷单的信息，或者以加好友、套近乎来博取信任，为后续骗取被害人钱财铺路。第二步 分,https://jx.news.163.com/22/0427/08/H5USILP104169AID.html
北京警方紧急拦截电信诈骗！挽回巨额损失,记摄人间,"
2022-04-26 02:00:02",电信诈骗无孔不入，不断升级，都说不做亏心事不怕鬼敲门，就算天大的事，也应该第一时间主动核实，而不是被一通陌生的电话牵着鼻子走。面对突如其来的民警，83岁的杨大爷一口咬定接到的不是诈骗电话，而是推销保健品的。见到杨大爷已经被洗脑，民警耐心的开展工作。原来杨大爷接到的是自称外地公安民警打来的电话，说他的身份信息被盗用，正在非法筹集募捐一笔巨款，杨大爷急得坐不住了，为了自证清白，开始配合调查。听了民警的,https://www.163.com/dy/article/H5R36FQ00545CBGK.html
【砺剑行动】网上买菜被“拉黑” 谨防涉疫诈骗,警民直通车上海,"
2022-04-26 11:12:37",本轮疫情以来，上海松江警方在全力做好疫情防控工作的同时，始终密切关注各类涉疫诈骗犯罪动向，切实保护市民群众合法权益。家住上海市松江区车墩镇的艾先生、孙先生先后在同一微信群看到了一则代购生活物资的广告“送货上门”四个字让他们秒付款分别支付了420元、400元给对方没想到随即被对方拉黑松江警方接到两人报案后很快将所谓的“代购人”苏某抓获原来嫌疑人看到微信群代购需求旺盛萌生了骗取他人钱财的念头已被松江警,https://www.163.com/dy/article/H5SI2VJG05341J45.html
小伙应聘厨师后成境外电信诈骗“枪手”，海安成功办理一起电信诈骗声纹鉴定案 ,举报,"
2022-04-27 11:13:44",找工作时被某网站高薪招聘厨师的广告吸引，年轻小伙偷渡出境做了一个多月的厨师后，主动加入诈骗团伙成了“枪手”，7个月非法获利20余万元。25日，经海安市检察院提起公诉，法院一审以陈某犯诈骗罪，判处其有期徒刑三年，并处罚金5万元。StartFragment受高薪招聘广告引诱偷渡出境2020年9月，时年33岁的陕西省安康无业青年陈某，在网上看到一则“高薪招聘厨师，无需工作经验，每月1万到2万底薪，有提成,https://js.news.163.com/22/0427/11/H5V4HO1P04249CUF.html
牢记反诈号码→12381、96110，远离诈骗！,潮TV,"
2022-04-27 21:42:25",今年我市电诈警情降47.7%今年来，我市反诈骗中心以群众满意为标准、以群众需要为导向，将守护群众的“钱袋子”时刻放在首位，主动探索疫情防控下反诈防诈技战法和工作思路，严格落实7x24小时值班制度，不断提高发现潜在受骗群众的能力，进一步提升预警劝阻工作效能，全力守护群众的财产安全。1案例一3月份下旬，市反诈骗中心接到一起群众在网上投资被诈骗的警情后，民警凭借专业敏锐性，通过与犯罪分子周旋及反渗透，对,https://www.163.com/dy/article/H608GSQ80530QLUU.html
别被“虚假征信类”诈骗骗了！,奎文发布,"
2022-04-25 14:21:32",身边案例近日，奎文区广文街道一居民接到一个冒充京东客服的电话，对方称其京东白条信誉不良，可以帮助提高信誉，信以为真的受害人随即在对方的诱导下下载了“识年”APP，并同意对方使用远程协助功能。随后对方利用远程协助指引受害人使用“云闪付”进行贷款，并使用贷出来的款项到指定的京东店铺购买了电子礼品卡，在未查询到电子礼品卡相关信息后才察觉被骗，损失金额1万余元。01及时核实信息凡是自称贷款平台客服，提供消,https://www.163.com/dy/article/H5QAG6650514LB6I.html
建行长治长子支行开展防范电信网络诈骗宣传,智慧生活报,"
2022-04-27 20:59:45",近期电信网络诈骗案件频发，为切实做好人民群众安全防范教育，有效预防电信网络诈骗案件的发生，建行长治长子支行近期积极开展防范和打击电信诈骗宣传活动。老年人是受骗的主要群体，支行在邻近社区通过发放宣传材料、现场讲解等方式，为老年客户讲解常见的电信诈骗的违法犯罪案例和犯罪分子的惯用手法，提醒老年人不轻信来历不明的电话、信息，不向陌生人透露自己及家人的身份信息，遇到可疑情况，及时与亲属朋友沟通或直接拨打报,https://www.163.com/dy/article/H6062O1V0534GDXW.html
陕西省养老诈骗线索举报方式公布,咸阳热点,"
2022-04-27 22:53:54",经党中央批准，在全国组织开展为期半年的打击整治养老诈骗专项行动，依法严厉打击侵害老年人合法权益的各类涉诈违法犯罪。为确保我省打击整治养老诈骗专项行动取得实效，依法维护好老年人合法权益，切实守护好老百姓的“养老钱”，现将我省相关单位的举报方式和受理范围予以公布，面向广大群众征集举报线索。受理时间从即日起至10月20日。举报人应实事求是地反映问题，利用举报捏造事实、诬告陷害的，将承担相应的法律责任。主,https://www.163.com/dy/article/H60CJON90517RMVE.html
轻轻松松月入过万？是诈骗！,佛山发布,"
2022-04-26 07:39:21",日赚百元，月入过万这样的工作你心动吗？这种“高薪兼职”的工作内容往往离不开点赞返利扫码领红包兼职做任务你若信以为真便落入了诈骗分子的圈套近日，顺德陈村一名老人在兼职做任务的套路下被骗78500元发布兼职信息引诱上钩小投资回报小利赢取信任晚上，邓女士为庆祝今日的“收获”，特地准备了丰盛的晚餐，希望给家人更大惊喜的她没有马上将兼职一事跟家人说，希望等自己赚到更多钱后再跟家人分享这一“好消息”。以任务未,https://www.163.com/dy/article/H5S5SEUF0514G11E.html
冒充“公检法”实施诈骗 洪江市公安成功阻断,怀化新闻网,"
2022-04-27 21:35:27",怀化新闻网讯“谢谢你们，要是没有警察及时赶到，我的3万元可就真没了……”唐女士心有余悸地对民警说道。4月26日，洪江市公安局雪峰派出所闻令即动、迅速出击，成功劝阻一起冒充“公检法”类诈骗，保住群众“钱袋子”，赢得了受害人和辖区群众的连连好评。26日，该局雪峰派出所通过走访摸排，得知湾溪乡某村的唐女士正在遭遇诈骗。警情就是命令，民警快速电话联系唐女士，但都被其挂断。随后民警调查中发现，唐女士长年不在,https://www.163.com/dy/article/H60843LV0512EFP0.html
集资诈骗非罪事由分析,苏建友律师,"
2022-04-26 17:58:40",《刑法》第一百九十二条规定，以非法占有为目的，使用诈骗方法非法集资，数额较大的，处三年以上七年以下有期徒刑，并处罚金；数额巨大或者有其他严重情节的，处七年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照前款的规定处罚。认定“以非法占有为目的”，需要注意主客观一致原则，使用诈骗方法非法集资，具有下列情形之一的，可以认定为,https://www.163.com/dy/article/H5T9A4TN05535IUH.html
全省法院开展打击养老诈骗专项行动,大江网,"
2022-04-27 08:50:17",本报讯 高苑轩 记者王白如报道：近日，省法院下发通知，在全省法院部署开展打击整治养老诈骗专项行动，要求全省各级法院高度重视，充分认识专项行动的重大意义，准确把握总体要求，依法严惩养老诈骗犯罪，扎实做好养老诈骗案件审判相关工作，确保专项行动取得实效。会上要求，全省各级法院要依法严厉惩处养老诈骗犯罪，重点惩处以提供“养老服务”、投资“养老项目”、销售“养老产品”、宣称“以房养老”、代办“养老保险”、开,https://www.163.com/dy/article/H5USB27705508T1R.html
诈骗新变种：梅州发生一起“约炮+刷单”=诈骗30万！,记录平远,"
2022-04-22 20:06:01",骗子为了你的钱财可谓“煞费苦心”一计不成再生一计步步为营 处处陷阱总有一款适合你近日梅州市大埔县发生一起“约炮刷单”类诈骗案件诈骗金额30余万元案情回顾4月8日下午，大埔县的莫先生收到一条宣传约炮APP的陌生短信，莫先生禁不住诱惑，点开了短信链接下载了APP。过了两天后，APP的客服发短信称由于莫先生长期没有约炮成功，不完成任务就会被踢出约炮群，引导他在购物网站上完成刷单的任务，便可以获得与“小姐,https://www.163.com/dy/article/H5J70OVQ0534JJCG.html
如何防范养老诈骗！请速转父母,看西安,"
2022-04-27 21:47:34",养老诈骗常见套路都有哪些？一起来了解一下01提供虚假养老服务02投资虚假养老项目03销售虚假养老产品04虚假宣称以房养老05虚假代办养老保险06开展虚假养老帮扶在此也提醒大家常回家看看，讲讲防骗知识来源：辽宁政法、平安湖北、荆州公安,https://www.163.com/dy/article/H608QA720525SRQD.html
老太遭遇“冒充公检法”诈骗 民警及时现身劝阻,信息新报,"
2022-04-27 20:22:42",今天（4月27日），记者从常州警方获悉，近日，常州市新北公安分局河海派出所接到反诈预警，辖区有一居民马老太（化名）疑似接到“冒充公检法”诈骗电话。民警尝试电话联系马老太，但电话一直占线。民警意识到马老太可能正深陷骗局，于是立即赶往现场。敲开门，民警得知马老太尚未被骗，一颗悬着的心总算放了下来。据了解，就在刚才，马老太独自在家时接到一个自称是“黑龙江省通讯管理局”的电话，称有人今年1月25日的时候在,https://www.163.com/dy/article/H603UTQB0552ADWT.html
“杀猪盘”牵出跨境诈骗团伙！山东济宁警方破获特大电信网络诈骗案,环球网资讯,"
2022-04-25 15:28:40",近日，山东济宁警方破获一起特大的电信网络诈骗案，抓获犯罪嫌疑人50名，破获各地此类案件156起，涉案金额2000多万元。一个长期盘踞在西南边境境外，以“杀猪盘”为手段骗人钱财的犯罪团伙被彻底摧毁。2022年4月24日，中央电视台新闻频道《新闻直播间》栏目对此案进行报道。“包赚不赔”就在这时李云峰让方女士下载一款APP，称在上面投资包赚不赔，在他的指导下，方女士往平台里投了2万块钱。几秒钟方女士便挣,https://www.163.com/dy/article/H5QEB2QS0514R9OJ.html
遇上养老诈骗，举报请拨打2197110！,大理融媒,"
2022-04-26 12:57:43",大理市公安局在全市范围内开展打击整治养老诈骗专项行动。严厉打击以提供“养老服务”、投资“养老项目”、销售“养老产品”、宣称“以房养老”、代办“养老保险”、开展“养老帮扶”等为名，实施诈骗、集资诈骗、非法吸收公众存款、组织领导传销活动、合同诈骗、制售伪劣商品和生产、销售、提供假药、劣药等侵害老年人财产权益的违法犯罪行为，治理侵害老年人合法权益的涉诈乱象。为维护社会稳定，保障人民群众安居乐业，彻查犯罪,https://www.163.com/dy/article/H5SO3DO10550AN9P.html
男子以代购香烟实施诈骗，青浦警方重拳出击破获一起诈骗案,法治青浦,"
2022-04-27 21:24:10",点击标题下「法治青浦」可快速关注当前，全市人民同心抗疫，然而一些不法分子却借机敛财，以代购香烟为幌子实施诈骗。近日，青浦警方快速出击，破获一起代购香烟诈骗案，抓获一名犯罪嫌疑人。近日，重固派出所接到李某报警称，4月7日晚，其在一短视频平台刷到一条售卖香烟的广告，因疫情原因已经很久没买到香烟，于是便私信了发布者并添加了其微信。一开始李某抱着半信半疑的态度咨询。但对方表示有送货渠道，展示了近期交易香烟,https://www.163.com/dy/article/H607FFNM0514OMFG.html
百色打击整治养老诈骗，发现线索可举报！,百色新闻网,"
2022-04-26 10:28:15",尊老敬老是中华民族的传统美德老年人的事再小也要当大事有的不法分子抓住老年人网络知识不足、辨识能力不强等特点设置陷阱、诱导消费给老年人造成经济损失、精神痛苦严重影响老年人身心健康以及家庭和睦为切实依法维护老年人合法权益促进养老事业健康发展4月25日百色市打击整治养老诈骗专项行动办公室发布公告打击整治养老诈骗专项行动为方便群众提供侵害老年人合法权益的涉诈乱象问题线索，畅通群众举报渠道，市打击整治养老诈,https://www.163.com/dy/article/H5SFHO3J05506HGK.html
网络诈骗缘何屡禁不止,友情岁月生活,"
2022-04-24 17:03:43",网络诈骗近段时间来较为猖獗，值得注意的是，由于网络的特定性，年轻人受骗群体更大，诈骗手段层出不穷。我们常常可以在各地的警方通报中发现电信诈骗的案例，不少受害者对骗子的言论深信不疑，反而对身边亲人的劝告不置可否，最终在警察耗时良久的沟通下，诈骗行为才被阻止。此外，青少年也是被骗的重灾区，因为没有很好的识骗能力，加上骗子的骗术也与时俱进，很多学生遭受过网络诈骗。近日，据相关媒体报道，王女士16岁的妹妹,https://www.163.com/dy/article/H5O1CDAF0552M49Z.html
诈骗分子冒充公检法诈骗 白沟新城警方成功拦截,举报,"
2022-04-26 14:14:26",网易新闻保定讯   有效预防和减少各类电信网络诈骗犯罪，白沟新城公安分局反诈中心加大预警工作力度，结合上级反诈中心每日推送的预警线索，反诈民警采用电话或上门等方式对本地潜在被骗高危人员进行精准劝阻和预警，帮助群众在被骗之前按下“暂停键”，切实守住群众钱袋子，近日，反诈中心民警就成功拦截了一起冒充公检法诈骗案件，用实际行动筑牢群众财产安全的“防火墙”。当日下午6时许，该分局反诈中心接到辖区河北银行的,https://hebei.news.163.com/22/0426/14/H5SSFSIG04159BTC.html
