,日期,满足条件,文章总数
312,2016-11-08,13,109
313,2016-11-09,20,102
314,2016-11-10,17,115
315,2016-11-11,24,116
316,2016-11-12,8,55
317,2016-11-13,2,42
318,2016-11-14,20,83
319,2016-11-15,11,88
320,2016-11-16,21,99
321,2016-11-17,13,123
322,2016-11-18,18,120
323,2016-11-19,7,60
324,2016-11-20,1,20
325,2016-11-21,24,123
326,2016-11-22,17,106
327,2016-11-23,26,124
328,2016-11-24,18,90
329,2016-11-25,24,135
330,2016-11-26,4,67
331,2016-11-27,5,32
332,2016-11-28,20,124
333,2016-11-29,23,135
334,2016-11-30,27,126
335,2016-12-01,18,98
336,2016-12-02,18,133
337,2016-12-03,15,65
338,2016-12-04,2,30
339,2016-12-05,23,117
340,2016-12-06,16,94
341,2016-12-07,27,113
342,2016-12-08,18,131
343,2016-12-09,12,117
344,2016-12-10,10,55
345,2016-12-11,5,31
346,2016-12-12,20,124
347,2016-12-13,20,162
348,2016-12-14,19,138
349,2016-12-15,20,130
350,2016-12-16,24,108
351,2016-12-17,12,51
352,2016-12-18,7,30
353,2016-12-19,15,95
354,2016-12-20,19,100
355,2016-12-21,39,81
356,2016-12-22,22,88
357,2016-12-23,18,89
358,2016-12-24,8,32
359,2016-12-25,4,24
360,2016-12-26,14,82
361,2016-12-27,20,75
362,2016-12-28,27,97
363,2016-12-29,27,163
364,2016-12-30,23,113
365,2016-12-31,7,23
