,0,1,2,3,4,5,6
88,亚洲,阿曼,179,0,29,0,03-31
89,非洲,加纳,152,0,2,5,03-31
90,亚洲,乌兹别克斯坦,150,0,7,2,03-31
91,非洲,喀麦隆,142,0,3,2,03-31
92,北美洲,洪都拉斯,139,0,0,3,03-31
93,非洲,塞内加尔,162,0,27,0,03-31
94,其他,钻石公主号邮轮,712,0,574,10,03-31
95,非洲,毛里求斯,131,0,0,3,03-31
96,非洲,尼日利亚,131,0,8,2,03-31
97,北美洲,古巴,119,0,0,3,03-31
98,亚洲,斯里兰卡,122,0,6,1,03-31
99,南美洲,委内瑞拉,113,0,0,2,03-31
100,欧洲,白俄罗斯,152,0,47,0,03-31
101,北美洲,马提尼克,105,0,0,2,03-31
102,亚洲,巴勒斯坦,115,0,18,1,03-31
103,欧洲,黑山,91,0,0,1,03-31
104,亚洲,文莱,127,0,38,1,03-31
105,亚洲,吉尔吉斯斯坦,84,0,0,0,03-31
106,亚洲,柬埔寨,103,0,21,0,03-31
107,非洲,马约特,82,0,0,0,03-31
108,亚洲,格鲁吉亚,98,0,18,0,03-31
109,南美洲,玻利维亚,74,0,0,0,03-31
110,北美洲,特立尼达和多巴哥,76,0,0,3,03-31
111,非洲,刚果（金）,81,0,3,8,03-31
112,非洲,卢旺达,70,0,0,0,03-31
113,欧洲,直布罗陀,65,0,0,0,03-31
114,欧洲,列支敦士登,62,0,0,0,03-31
115,南美洲,巴拉圭,64,0,0,3,03-31
116,欧洲,泽西岛,63,0,0,2,03-31
117,大洋洲,关岛,56,0,0,1,03-31
118,非洲,肯尼亚,50,0,1,1,03-31
119,欧洲,摩纳哥,49,0,1,1,03-31
120,北美洲,阿鲁巴,46,0,0,0,03-31
121,非洲,马达加斯加,46,0,0,0,03-31
122,欧洲,马恩岛,42,0,0,0,03-31
123,欧洲,根西岛,39,0,0,0,03-31
124,大洋洲,法属波利尼西亚,35,0,0,0,03-31
125,非洲,赞比亚共和国,35,0,0,0,03-31
126,北美洲,危地马拉,34,0,0,1,03-31
127,非洲,乌干达,33,0,0,0,03-31
128,北美洲,牙买加,32,0,0,1,03-31
129,北美洲,巴巴多斯,26,0,0,0,03-31
130,亚洲,孟加拉国,49,0,19,5,03-31
131,非洲,吉布提,25,0,0,0,03-31
132,北美洲,萨尔瓦多,24,0,0,0,03-31
133,非洲,多哥,34,0,10,1,03-31
134,非洲,马里,25,0,0,2,03-31
135,北美洲,美属维尔京群岛,22,0,0,0,03-31
136,北美洲,百慕大,22,0,0,0,03-31
137,非洲,几内亚,22,0,1,0,03-31
138,非洲,埃塞俄比亚,23,0,3,0,03-31
139,非洲,坦桑尼亚,19,0,1,0,03-31
140,非洲,尼日尔,20,0,0,3,03-31
141,非洲,加蓬,16,0,0,1,03-31
142,北美洲,海地,15,0,0,0,03-31
143,非洲,赤道几内亚,14,0,0,0,03-31
144,亚洲,缅甸,14,0,0,0,03-31
145,北美洲,圣马丁岛,12,0,0,0,03-31
146,非洲,厄立特里亚,12,0,0,0,03-31
147,北美洲,巴哈马,10,0,0,0,03-31
148,北美洲,格陵兰,10,0,0,0,03-31
149,亚洲,叙利亚,10,0,0,1,03-31
150,非洲,利比亚,8,0,0,0,03-31
151,非洲,津巴布韦,8,0,0,1,03-31
152,亚洲,马尔代夫,17,0,11,0,03-31
153,欧洲,梵蒂冈,6,0,0,0,03-31
154,非洲,安哥拉,7,0,0,2,03-31
155,非洲,苏丹,6,0,0,2,03-31
156,非洲,毛里塔尼亚,5,0,2,0,03-31
157,非洲,冈比亚,4,0,0,1,03-31
158,北美洲,尼加拉瓜,4,0,0,1,03-31
159,非洲,博茨瓦纳,3,0,0,0,03-31
160,大洋洲,北马里亚纳群岛联邦,2,0,0,0,03-31
163,北美洲,美国,160020,0,4865,2953,03-31
693,北美洲,加拿大,6671,0,345,66,03-30
694,欧洲,葡萄牙,6408,0,22,140,03-30
695,非洲,毛里求斯,110,0,0,2,03-30
696,欧洲,英国,22141,0,135,1408,03-30
697,欧洲,北马其顿,257,0,1,6,03-30
698,亚洲,阿塞拜疆,273,0,26,4,03-30
699,亚洲,约旦,259,0,18,2,03-30
700,欧洲,摩尔多瓦,231,0,10,2,03-30
701,欧洲,圣马力诺,242,0,2,22,03-30
702,亚洲,塞浦路斯,214,0,0,6,03-30
703,亚洲,科威特,266,0,72,0,03-30
704,欧洲,阿尔巴尼亚,212,0,10,10,03-30
705,非洲,布基纳法索,222,0,23,12,03-30
706,南美洲,委内瑞拉,113,0,0,2,03-30
708,北美洲,美国,143101,0,4865,2517,03-30
709,欧洲,德国,58101,0,8481,474,03-30
710,欧洲,瑞士,14799,0,1823,300,03-30
711,亚洲,土耳其,9217,0,105,131,03-30
712,欧洲,奥地利,8536,0,225,68,03-30
715,亚洲,韩国,9661,0,5228,158,03-30
716,亚洲,以色列,4347,0,139,81,03-30
717,南美洲,巴西,4256,0,0,136,03-30
718,大洋洲,澳大利亚,4245,0,119,16,03-30
719,欧洲,爱尔兰,2615,0,0,46,03-30
720,亚洲,马来西亚,2626,0,388,34,03-30
721,南美洲,智利,2139,0,75,7,03-30
722,欧洲,卢森堡,1988,0,0,22,03-30
723,欧洲,波兰,1862,0,13,22,03-30
724,欧洲,俄罗斯,1836,0,66,9,03-30
725,亚洲,巴基斯坦,1625,0,28,18,03-30
726,亚洲,沙特阿拉伯,1453,0,115,8,03-30
727,亚洲,印度,1414,0,95,27,03-30
728,非洲,南非,1280,0,1,2,03-30
729,亚洲,印度尼西亚,1414,0,64,122,03-30
730,欧洲,芬兰,1218,0,10,11,03-30
731,北美洲,墨西哥,993,0,1,20,03-30
732,欧洲,冰岛,1020,0,124,2,03-30
733,南美洲,秘鲁,852,0,14,18,03-30
734,欧洲,塞尔维亚,785,0,0,16,03-30
735,欧洲,斯洛文尼亚,691,0,0,9,03-30
736,欧洲,克罗地亚,713,0,37,5,03-30
737,欧洲,爱沙尼亚,679,0,20,3,03-30
738,南美洲,哥伦比亚,608,0,10,6,03-30
739,亚洲,卡塔尔,634,0,48,1,03-30
740,亚洲,阿联酋,611,0,61,5,03-30
741,大洋洲,新西兰,589,4,50,1,03-30
742,亚洲,亚美尼亚,481,0,30,3,03-30
743,欧洲,立陶宛,437,0,1,7,03-30
744,欧洲,拉脱维亚,347,0,0,0,03-30
745,欧洲,斯洛伐克,336,0,7,0,03-30
746,欧洲,保加利亚,338,0,3,7,03-30
747,欧洲,安道尔,334,0,6,6,03-30
748,欧洲,波黑,324,0,8,6,03-30
749,南美洲,乌拉圭,309,0,6,1,03-30
750,北美洲,哥斯达黎加,295,0,0,2,03-30
751,亚洲,哈萨克斯坦,302,0,21,1,03-30
753,亚洲,巴林,515,0,279,4,03-30
757,欧洲,法罗群岛,168,0,0,0,03-30
758,非洲,科特迪瓦,165,0,4,1,03-30
759,亚洲,越南,203,0,52,0,03-30
760,亚洲,阿曼,179,0,29,0,03-30
761,非洲,留尼旺,143,0,0,0,03-30
762,亚洲,乌兹别克斯坦,149,0,7,2,03-30
763,欧洲,马耳他,139,0,0,0,03-30
764,非洲,喀麦隆,142,0,3,2,03-30
765,北美洲,洪都拉斯,139,0,0,3,03-30
766,非洲,塞内加尔,162,0,27,0,03-30
767,其他,钻石公主号邮轮,712,0,574,10,03-30
768,北美洲,古巴,119,0,0,3,03-30
769,亚洲,斯里兰卡,122,0,6,1,03-30
771,非洲,尼日利亚,111,0,3,1,03-30
773,亚洲,文莱,127,0,38,1,03-30
774,亚洲,巴勒斯坦,106,0,18,1,03-30
775,亚洲,柬埔寨,103,0,21,0,03-30
776,非洲,吉布提,25,0,0,0,03-30
777,欧洲,挪威,4284,0,0,26,03-30
778,欧洲,捷克,2837,0,11,17,03-30
779,亚洲,泰国,1524,0,127,9,03-30
792,欧洲,匈牙利,447,0,34,15,03-30
798,亚洲,缅甸,14,0,0,0,03-30
800,欧洲,意大利,97689,0,13030,10779,03-30
801,欧洲,西班牙,85195,0,14709,7340,03-30
803,欧洲,法国,40174,0,7132,2606,03-30
804,亚洲,伊朗,41495,0,12391,2640,03-30
807,欧洲,比利时,11899,0,1527,513,03-30
810,欧洲,荷兰,11750,0,2954,864,03-30
818,欧洲,瑞典,3700,0,17,110,03-30
821,欧洲,丹麦,2555,0,1,72,03-30
825,南美洲,厄瓜多尔,1890,0,0,57,03-30
829,欧洲,罗马尼亚,1815,0,206,43,03-30
830,亚洲,日本,1944,0,404,58,03-30
831,亚洲,菲律宾,1546,0,42,78,03-30
838,欧洲,希腊,1156,0,19,38,03-30
840,北美洲,巴拿马,989,0,4,24,03-30
843,南美洲,阿根廷,820,0,1,80,03-30
845,亚洲,新加坡,879,0,183,3,03-30
851,北美洲,多米尼加,581,0,0,20,03-30
854,非洲,摩洛哥,516,0,13,26,03-30
855,欧洲,乌克兰,480,0,6,11,03-30
856,非洲,阿尔及利亚,511,0,29,31,03-30
858,非洲,埃及,609,0,132,40,03-30
860,亚洲,黎巴嫩,446,0,32,11,03-30
862,亚洲,伊拉克,547,0,143,42,03-30
868,非洲,突尼斯,312,0,0,8,03-30
886,非洲,加纳,152,0,2,5,03-30
888,亚洲,阿富汗,145,0,0,4,03-30
899,北美洲,瓜德罗普岛,96,0,0,2,03-30
900,北美洲,马提尼克,93,0,0,1,03-30
903,欧洲,黑山,85,0,0,1,03-30
904,亚洲,吉尔吉斯斯坦,84,0,0,0,03-30
906,亚洲,格鲁吉亚,98,0,18,0,03-30
907,南美洲,玻利维亚,74,0,0,0,03-30
908,欧洲,白俄罗斯,94,0,22,0,03-30
909,北美洲,特立尼达和多巴哥,74,0,0,2,03-30
910,非洲,刚果（金）,81,0,3,8,03-30
911,非洲,卢旺达,70,0,0,0,03-30
913,北美洲,波多黎各,64,0,0,2,03-30
914,南美洲,巴拉圭,64,0,0,3,03-30
915,欧洲,列支敦士登,61,0,0,0,03-30
916,欧洲,泽西岛,61,0,0,1,03-30
917,欧洲,直布罗陀,56,0,0,0,03-30
918,大洋洲,关岛,56,0,0,1,03-30
919,非洲,马约特,50,0,0,0,03-30
920,非洲,肯尼亚,50,0,1,1,03-30
921,北美洲,阿鲁巴,46,0,0,0,03-30
922,欧洲,摩纳哥,46,0,1,0,03-30
923,非洲,马达加斯加,43,0,0,0,03-30
924,欧洲,根西岛,39,0,0,0,03-30
925,非洲,赞比亚共和国,35,0,0,0,03-30
926,大洋洲,法属波利尼西亚,34,0,0,0,03-30
927,非洲,乌干达,33,0,0,0,03-30
928,欧洲,马恩岛,32,0,0,0,03-30
929,北美洲,危地马拉,32,0,0,1,03-30
930,南美洲,法属圭亚那,31,0,0,0,03-30
931,北美洲,牙买加,30,0,0,1,03-30
932,亚洲,孟加拉国,49,0,19,5,03-30
933,北美洲,巴巴多斯,24,0,0,0,03-30
934,非洲,马里,25,0,0,2,03-30
935,非洲,多哥,30,0,7,1,03-30
936,非洲,埃塞俄比亚,23,0,3,0,03-30
937,非洲,刚果（布）,19,0,0,0,03-30
938,北美洲,萨尔瓦多,19,0,0,0,03-30
939,非洲,坦桑尼亚,19,0,1,0,03-30
941,北美洲,美属维尔京群岛,17,0,0,0,03-30
942,北美洲,百慕大,17,0,0,0,03-30
943,非洲,几内亚,16,0,1,0,03-30
944,大洋洲,新喀里多尼亚,15,0,0,0,03-30
945,非洲,赤道几内亚,14,0,0,0,03-30
946,亚洲,蒙古,12,0,0,0,03-30
947,北美洲,圣马丁岛,12,0,0,0,03-30
948,非洲,厄立特里亚,12,0,0,0,03-30
949,非洲,纳米比亚,11,0,0,0,03-30
950,北美洲,多米尼克,11,0,0,0,03-30
951,北美洲,巴哈马,10,0,0,0,03-30
952,北美洲,格陵兰,10,0,0,0,03-30
954,非洲,尼日尔,10,0,0,1,03-30
955,亚洲,叙利亚,10,0,0,1,03-30
956,非洲,斯威士兰,9,0,0,0,03-30
957,南美洲,苏里南,8,0,0,0,03-30
958,北美洲,海地,8,0,0,0,03-30
959,非洲,莫桑比克,8,0,0,0,03-30
960,北美洲,开曼群岛,8,0,0,1,03-30
961,非洲,塞舌尔,7,0,0,0,03-30
962,北美洲,安提瓜和巴布达,7,0,0,0,03-30
963,北美洲,格林那达,7,0,0,0,03-30
964,亚洲,马尔代夫,17,0,11,0,03-30
965,非洲,加蓬,7,0,0,1,03-30
966,北美洲,库拉索岛,7,0,0,1,03-30
967,非洲,津巴布韦,7,0,0,1,03-30
968,欧洲,梵蒂冈,6,0,0,0,03-30
969,非洲,中非共和国,6,0,0,0,03-30
970,非洲,贝宁,6,0,0,0,03-30
971,亚洲,老挝,6,0,0,0,03-30
972,非洲,安哥拉,7,0,0,2,03-30
973,北美洲,圣巴泰勒米岛,5,0,0,0,03-30
974,大洋洲,斐济,5,0,0,0,03-30
975,非洲,乍得,5,0,0,0,03-30
976,北美洲,蒙特塞拉特,5,0,0,0,03-30
977,非洲,苏丹,6,0,0,2,03-30
978,亚洲,尼泊尔,5,0,1,0,03-30
979,南美洲,圭亚那,5,0,0,1,03-30
980,非洲,毛里塔尼亚,5,0,2,0,03-30
981,非洲,佛得角,5,0,1,1,03-30
982,非洲,冈比亚,4,0,0,1,03-30
983,北美洲,尼加拉瓜,4,0,0,1,03-30
984,亚洲,不丹,3,0,0,0,03-30
985,北美洲,圣卢西亚,3,0,0,0,03-30
986,非洲,利比里亚,3,0,0,0,03-30
987,非洲,索马里,3,0,0,0,03-30
988,非洲,利比亚,3,0,0,0,03-30
989,北美洲,伯利兹,2,0,0,0,03-30
990,北美洲,特克斯和凯科斯群岛,2,0,0,0,03-30
991,非洲,几内亚比绍,2,0,0,0,03-30
992,北美洲,圣其茨和尼维斯,2,0,0,0,03-30
993,北美洲,安圭拉,2,0,0,0,03-30
994,北美洲,英属维尔京群岛,2,0,0,0,03-30
995,大洋洲,北马里亚纳群岛联邦,2,0,0,0,03-30
996,北美洲,圣文森特和格林纳丁斯,1,0,0,0,03-30
997,亚洲,东帝汶,1,0,0,0,03-30
998,大洋洲,巴布亚新几内亚,1,0,0,0,03-30
3308,欧洲,瑞典,3447,0,17,102,03-29
3309,欧洲,爱尔兰,2415,0,0,36,03-29
3310,欧洲,丹麦,2201,0,1,65,03-29
3311,亚洲,马来西亚,2470,0,388,34,03-29
3312,欧洲,卢森堡,1831,0,0,18,03-29
3313,南美洲,厄瓜多尔,1595,0,0,36,03-29
3314,亚洲,日本,1893,0,404,56,03-29
3315,欧洲,希腊,1156,0,19,38,03-29
3316,北美洲,墨西哥,858,0,1,16,03-29
3317,非洲,埃及,576,0,121,36,03-29
3318,欧洲,匈牙利,408,0,34,13,03-29
3319,亚洲,塞浦路斯,214,0,0,6,03-29
3320,欧洲,阿尔巴尼亚,212,0,10,10,03-29
3321,非洲,布基纳法索,207,0,21,11,03-29
3322,亚洲,越南,188,0,25,0,03-29
3323,亚洲,阿塞拜疆,182,0,15,4,03-29
3324,非洲,加纳,152,0,2,5,03-29
3325,非洲,毛里求斯,107,0,0,2,03-29
3326,亚洲,巴勒斯坦,104,0,18,1,03-29
3327,亚洲,柬埔寨,103,0,21,0,03-29
3328,非洲,肯尼亚,42,0,1,1,03-29
3329,亚洲,菲律宾,1418,0,42,71,03-29
3332,北美洲,加拿大,5867,0,345,63,03-29
3333,亚洲,韩国,9583,0,5033,152,03-29
3334,亚洲,以色列,3865,0,89,12,03-29
3335,亚洲,巴基斯坦,1500,0,25,12,03-29
3336,亚洲,印度,1024,0,95,27,03-29
3337,欧洲,塞尔维亚,741,0,0,13,03-29
3338,南美洲,阿根廷,745,0,1,19,03-29
3339,南美洲,秘鲁,671,0,14,16,03-29
3340,非洲,摩洛哥,437,0,12,26,03-29
3341,亚洲,黎巴嫩,438,0,30,10,03-29
3342,欧洲,波黑,233,0,5,4,03-29
3345,其他,钻石公主号邮轮,712,0,574,10,03-29
3346,亚洲,阿富汗,117,0,0,2,03-29
3347,亚洲,叙利亚,6,0,0,1,03-29
3351,北美洲,多米尼加,581,0,0,20,03-29
3353,欧洲,法罗群岛,144,0,0,0,03-29
3354,非洲,塞内加尔,142,0,27,0,03-29
3355,欧洲,法国,37575,0,5700,2314,03-29
3356,欧洲,英国,19522,0,135,1228,03-29
3358,亚洲,哈萨克斯坦,271,0,16,1,03-29
3359,亚洲,科威特,255,0,64,0,03-29
3360,欧洲,挪威,3981,0,0,22,03-29
3361,大洋洲,澳大利亚,3809,0,119,16,03-29
3362,欧洲,捷克,2669,0,11,13,03-29
3363,南美洲,智利,1909,0,43,6,03-29
3364,欧洲,俄罗斯,1534,0,64,8,03-29
3365,亚洲,泰国,1388,0,97,7,03-29
3366,亚洲,沙特阿拉伯,1299,0,66,8,03-29
3367,欧洲,罗马尼亚,1292,0,115,24,03-29
3368,亚洲,印度尼西亚,1285,0,35,114,03-29
3369,亚洲,新加坡,844,0,183,3,03-29
3370,南美洲,哥伦比亚,608,0,10,6,03-29
3371,欧洲,克罗地亚,586,0,37,3,03-29
3372,亚洲,阿联酋,468,0,55,2,03-29
3373,欧洲,立陶宛,382,0,1,7,03-29
3374,欧洲,安道尔,334,0,6,6,03-29
3375,非洲,突尼斯,278,0,0,6,03-29
3377,亚洲,约旦,246,0,18,1,03-29
3379,亚洲,巴林,499,0,272,4,03-29
3383,亚洲,伊朗,38309,0,12391,2640,03-29
3384,欧洲,比利时,10836,0,350,431,03-29
3385,欧洲,荷兰,10866,0,2954,771,03-29
3387,欧洲,斯洛伐克,314,0,7,0,03-29
3388,欧洲,保加利亚,313,0,3,3,03-29
3389,欧洲,拉脱维亚,305,0,0,0,03-29
3390,北美洲,哥斯达黎加,295,0,0,2,03-29
3391,北美洲,美国,124686,0,2612,2191,03-29
3392,亚洲,土耳其,7402,0,70,108,03-29
3398,欧洲,波兰,1638,0,13,18,03-29
3401,欧洲,斯洛文尼亚,632,0,0,9,03-29
3405,亚洲,亚美尼亚,424,0,30,3,03-29
3410,欧洲,北马其顿,219,0,1,3,03-29
3414,亚洲,乌兹别克斯坦,133,0,0,2,03-29
3417,非洲,喀麦隆,113,0,2,2,03-29
3418,非洲,赞比亚共和国,29,0,0,0,03-29
3419,欧洲,瑞士,14336,0,1530,257,03-29
3421,欧洲,葡萄牙,5962,0,22,119,03-29
3423,南美洲,巴西,3904,0,0,92,03-29
3429,非洲,马达加斯加,43,0,0,0,03-29
3430,非洲,马里,18,0,0,1,03-29
3432,欧洲,西班牙,78797,0,12285,6528,03-29
3438,欧洲,奥地利,7697,0,225,68,03-29
3458,非洲,南非,1187,0,1,2,03-29
3461,欧洲,芬兰,1163,0,10,9,03-29
3464,北美洲,巴拿马,901,0,0,17,03-29
3466,欧洲,冰岛,963,0,97,2,03-29
3471,欧洲,爱沙尼亚,640,0,20,1,03-29
3476,亚洲,卡塔尔,590,0,45,1,03-29
3477,大洋洲,新西兰,514,4,50,0,03-29
3480,欧洲,乌克兰,418,0,5,9,03-29
3483,非洲,阿尔及利亚,454,0,29,29,03-29
3486,亚洲,伊拉克,547,0,143,42,03-29
3494,南美洲,乌拉圭,238,0,6,0,03-29
3498,欧洲,圣马力诺,242,0,2,21,03-29
3499,欧洲,摩尔多瓦,231,0,10,2,03-29
3507,亚洲,阿曼,167,0,23,0,03-29
3509,欧洲,马耳他,139,0,0,0,03-29
3510,非洲,留尼旺,135,0,0,0,03-29
3517,亚洲,斯里兰卡,113,0,6,1,03-29
3518,南美洲,委内瑞拉,107,0,0,1,03-29
3520,非洲,科特迪瓦,101,0,3,0,03-29
3521,非洲,尼日利亚,97,0,3,1,03-29
3522,亚洲,文莱,126,0,34,1,03-29
3524,亚洲,吉尔吉斯斯坦,84,0,0,0,03-29
3526,亚洲,格鲁吉亚,90,0,18,0,03-29
3527,欧洲,梵蒂冈,6,0,0,0,03-29
3528,欧洲,德国,58101,0,8481,474,03-29
3951,欧洲,意大利,93051,0,12384,10023,03-29
4050,北美洲,瓜德罗普岛,96,0,0,2,03-29
4051,北美洲,马提尼克,93,0,0,1,03-29
4054,北美洲,古巴,80,0,0,2,03-29
4055,欧洲,黑山,75,0,0,1,03-29
4056,欧洲,白俄罗斯,94,0,22,0,03-29
4058,北美洲,洪都拉斯,68,0,0,1,03-29
4059,北美洲,特立尼达和多巴哥,66,0,0,2,03-29
4060,北美洲,波多黎各,64,0,0,2,03-29
4061,南美洲,玻利维亚,61,0,0,0,03-29
4062,欧洲,列支敦士登,60,0,0,0,03-29
4063,非洲,卢旺达,60,0,0,0,03-29
4065,非洲,刚果（金）,65,0,3,6,03-29
4066,欧洲,直布罗陀,55,0,0,0,03-29
4067,欧洲,泽西岛,52,0,0,1,03-29
4068,大洋洲,关岛,51,0,0,1,03-29
4069,非洲,马约特,50,0,0,0,03-29
4070,南美洲,巴拉圭,52,0,0,3,03-29
4071,欧洲,摩纳哥,43,0,1,0,03-29
4073,欧洲,根西岛,36,0,0,0,03-29
4074,亚洲,孟加拉国,48,0,11,5,03-29
4075,南美洲,法属圭亚那,31,0,0,0,03-29
4076,大洋洲,法属波利尼西亚,30,0,0,0,03-29
4077,非洲,乌干达,30,0,0,0,03-29
4078,欧洲,马恩岛,29,0,0,0,03-29
4079,北美洲,阿鲁巴,28,0,0,0,03-29
4082,北美洲,牙买加,26,0,0,1,03-29
4083,北美洲,危地马拉,25,0,0,1,03-29
4084,北美洲,巴巴多斯,24,0,0,0,03-29
4085,非洲,多哥,25,0,1,1,03-29
4086,非洲,刚果（布）,19,0,0,0,03-29
4088,大洋洲,新喀里多尼亚,15,0,0,0,03-29
4089,北美洲,百慕大,15,0,0,0,03-29
4090,非洲,吉布提,14,0,0,0,03-29
4091,非洲,坦桑尼亚,14,0,1,0,03-29
4092,非洲,赤道几内亚,13,0,0,0,03-29
4093,北美洲,萨尔瓦多,13,0,0,0,03-29
4094,非洲,埃塞俄比亚,16,0,4,0,03-29
4095,亚洲,蒙古,12,0,0,0,03-29
4096,非洲,几内亚,12,0,0,0,03-29
4097,北美洲,圣马丁岛,11,0,0,0,03-29
4098,非洲,纳米比亚,11,0,0,0,03-29
4099,北美洲,多米尼克,11,0,0,0,03-29
4100,非洲,尼日尔,10,0,0,1,03-29
4101,非洲,斯威士兰,9,0,0,0,03-29
4102,北美洲,巴哈马,9,0,0,0,03-29
4103,北美洲,格陵兰,9,0,0,0,03-29
4104,南美洲,苏里南,8,0,0,0,03-29
4105,北美洲,海地,8,0,0,0,03-29
4106,非洲,莫桑比克,8,0,0,0,03-29
4107,亚洲,缅甸,8,0,0,0,03-29
4108,北美洲,开曼群岛,8,0,0,1,03-29
4109,北美洲,安提瓜和巴布达,7,0,0,0,03-29
4110,北美洲,格林那达,7,0,0,0,03-29
4111,非洲,加蓬,7,0,0,1,03-29
4112,北美洲,库拉索岛,7,0,0,1,03-29
4113,非洲,津巴布韦,7,0,0,1,03-29
4114,非洲,中非共和国,6,0,0,0,03-29
4115,非洲,贝宁,6,0,0,0,03-29
4116,非洲,厄立特里亚,6,0,0,0,03-29
4117,亚洲,老挝,6,0,0,0,03-29
4118,非洲,毛里塔尼亚,5,0,0,0,03-29
4119,北美洲,圣巴泰勒米岛,5,0,0,0,03-29
4120,大洋洲,斐济,5,0,0,0,03-29
4121,非洲,乍得,5,0,0,0,03-29
4122,非洲,安哥拉,5,0,0,0,03-29
4123,北美洲,蒙特塞拉特,5,0,0,0,03-29
