日期,天气状况,气温,风力风向
2011-04-05,多云/多云,17℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-04-06,多云/多云,21℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-04-07,阴/多云,23℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-08,阵雨/阴,20℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-04-09,阵雨/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-10,阴/多云,22℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-04-11,多云/阵雨,23℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-04-12,阵雨/多云,23℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-04-13,阴/多云,22℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-14,多云/阴,24℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-04-15,阴/阵雨,28℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-04-16,阴/中雨,28℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-17,小到中雨/阵雨,18℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-18,多云/多云,22℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-04-19,多云/晴,23℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-04-20,晴/晴,23℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-04-21,多云/多云,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-22,小到中雨/阴,20℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-23,阴/多云,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-24,晴/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-04-25,晴/多云,29℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-04-26,多云/多云,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-04-27,多云/多云,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-04-28,多云/多云,25℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-04-29,多云/阵雨,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-04-30,阵雨/中雨,24℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-01,中到大雨/中到大雨,23℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-02,大雨/中到大雨,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-05-03,中到大雨/中雨,19℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-05-04,中雨/小到中雨,20℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-05-05,阵雨/阵雨,21℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-05-06,阵雨/阵雨,24℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-07,阵雨/阵雨,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-08,阴/多云,28℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-05-09,多云/多云,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-05-10,多云/多云,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-05-11,阵雨/中雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-05-12,中雨/阵雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-13,阵雨/阵雨,22℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-14,阵雨/阴,21℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-15,中雨/中雨,22℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-05-16,小到中雨/阵雨,22℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-17,多云/晴,27℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-18,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-19,晴/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-20,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-21,多云/阵雨,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-05-22,阵雨/小到中雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-23,中雨/阵雨,22℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-24,小雨/阵雨,22℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-25,阴/阵雨,24℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-26,阴/阴,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-27,阴/阴,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-28,多云/多云,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-29,多云/晴,30℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-30,晴/晴,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-31,晴/多云,30℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-06-01,多云/阵雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-06-02,阵雨/阵雨,26℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-03,阵雨/阴,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-06-04,阴/阴,29℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-06-05,阴/阵雨,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-06-06,阵雨/中雨,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-06-07,中雨/小到中雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-08,阵雨/阵雨,29℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-06-09,多云/阴,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-10,阴/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-11,多云/阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-12,小到中雨/中雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-13,中雨/小到中雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-06-14,阵雨/阴,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-06-15,阵雨/多云,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-16,阵雨/阴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-17,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-18,多云/阴,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-19,阴/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-20,阵雨/阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-21,阴/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-22,阵雨/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-23,多云/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-24,多云/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-25,阵雨/阵雨,33℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-26,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-27,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-28,多云/阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-29,阵雨/阵雨,29℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-30,阴/阴,33℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-01,多云/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-02,晴/晴,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-03,晴/晴,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-04,晴/晴,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-05,晴/晴,37℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-06,晴/多云,36℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-07,多云/阵雨,36℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-08,阵雨/多云,33℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-09,多云/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-10,阵雨/中雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-11,阵雨/中雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-12,中雨/阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-13,阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-14,阵雨/阵雨,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-15,阵雨/阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-16,阵雨/中雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-17,中雨/中雨,30℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-18,中雨/中雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-19,中雨/阵雨,29℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-20,阵雨/阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-21,阵雨/多云,33℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-22,多云/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-23,多云/晴,35℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-24,多云/多云,37℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-25,多云/多云,37℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-26,多云/阵雨,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-27,阵雨/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-28,多云/阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-29,阵雨/阵雨,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-30,阵雨/阵雨,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-31,阵雨/阵雨,33℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-01,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-02,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-03,阵雨/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-04,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-05,雷阵雨/阴,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-06,阵雨/多云,35℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-08-07,多云/阵雨,36℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-08-08,阵雨/阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-09,阵雨/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-10,阵雨/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-11,阵雨/阴,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-12,阴/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-13,阵雨/阵雨,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-14,阵雨/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-15,多云/多云,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-16,多云/多云,37℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-17,多云/晴,38℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-08-18,晴/多云,37℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-08-19,阵雨/多云,37℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-20,多云/多云,36℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-21,多云/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-22,阵雨/阵雨,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-23,阵雨/中雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-24,中雨/中雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-25,中雨/阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-26,阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-27,阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-28,阵雨/大雨,31℃/25℃,无持续风向≤3级/东北风6-7级
2011-08-29,大雨/中到大雨,31℃/24℃,东北风6-7级/无持续风向≤3级
2011-08-30,中到大雨/暴雨,27℃/25℃,无持续风向≤3级/东风6-7级
2011-08-31,大雨/大雨,29℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-09-01,阵雨/阵雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-02,阵雨/多云,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-03,多云/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-09-04,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-05,阴/多云,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-06,阴/阴,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-07,阴/阴,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-08,阴/多云,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-09,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-10,多云/阵雨,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-09-11,阴/阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-12,阴/阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-13,阵雨/多云,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-14,多云/多云,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-15,阴/阴,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-16,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-17,多云/多云,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-09-18,小雨/阵雨,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-19,阴/多云,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-20,多云/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-21,多云/阴,27℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-22,阴/阴,27℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-23,阴/阴,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-09-24,阴/阴,25℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-25,阴/阴,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-26,阴/阴,25℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-09-27,多云/阵雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-09-28,阵雨/中雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-09-29,阵雨/阵雨,27℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-09-30,阵雨/小到中雨,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-01,阵雨/阵雨,24℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-02,阵雨/阴,23℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-03,小雨/小雨,20℃/17℃,无持续风向微风/无持续风向微风
2011-10-04,阵雨/阴,23℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-05,阴/阴,24℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-06,阴/阵雨,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-07,阵雨/阴,24℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-08,阴/阴,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-09,阴/小雨,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-10,阵雨/阵雨,26℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-10-11,阵雨/阴,29℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-10-12,阴/阴,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-13,阴/小到中雨,25℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-14,小到中雨/小雨,23℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-15,阴/多云,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-16,晴/晴,26℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-10-17,晴/晴,25℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-10-18,晴/晴,24℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-10-19,晴/多云,25℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-10-20,多云/阴,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-21,阴/多云,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-22,多云/多云,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-23,多云/多云,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-24,阵雨/阵雨,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-10-25,小雨/阴,22℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-10-26,阴/阴,22℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-10-27,多云/多云,23℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-10-28,多云/多云,24℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-10-29,阴/阴,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-10-30,阴/阴,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-10-31,多云/多云,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-11-01,多云/阴,25℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-11-02,阵雨/阵雨,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-11-03,阵雨/阵雨,24℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-11-04,小到中雨/小雨,26℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-11-05,阴/阵雨,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-11-06,阴/阵雨,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-11-07,阵雨/阵雨,24℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-11-08,阵雨/中到大雨,22℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-09,中雨/大雨,19℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-10,中雨/阴,18℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-11,阴/阴,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-12,阴/阵雨,21℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-11-13,阴/阴,22℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-11-14,多云/多云,22℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-15,多云/阵雨,22℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-16,阴/阵雨,22℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-11-17,阵雨/阵雨,23℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-11-18,阵雨/小到中雨,23℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-19,小到中雨/阴,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-20,阴/多云,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-11-21,多云/多云,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-11-22,多云/多云,19℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-11-23,多云/多云,21℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-11-24,多云/多云,21℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-11-25,多云/多云,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-11-26,多云/小雨,22℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-27,小雨/阴,21℃/17℃,无持续风向≤3级/无持续风向≤3级
