标题,日期,作者,内容,文章链接
商洛市交投公司举办《民法典合同编》专题培训会,2022年03月01日 17:43,新浪网,本文转自：商洛新闻网为进一步增强公司干部员工的法律风险防范意识，提升公司法治管理水平。3月1日下午，商洛市交投公司举办《民法典合同编》专题培训会。本次培训会由公司副总经理刘海宏主持，邀请北京大成（西安）律师事务所郭宇辰和何园园两位律师主讲。公司工程建设部、投资规划部全体人员，下属招标咨询公司、项目建设公司负责合同签订相关人员和干部员工代表共计50余人参加培训。培训讲师重点从合同基本要素，合同的订立、效力、履行、变更和终止等方面入手，结合实际案例讲授了合同管理事务事前、事中、事后的关键控制节点及注意事项，阐述了规范的合同管理在企业经营管理过程中的重要性。本次培训有利于进一步加深公司干部员工对《民法典合同编》的理解与认识，强化在合同谈判、签订、履行及争议解决全过程中的风险防范意识，提升合同规范管理能力，防范合同法律风险，保障公司高质量发展。,https://k.sina.com.cn/article_7517400647_1c0126e4705902y2m5.html
商南县检察院：民法典宣传进社区“零距离”服务群众,2022年03月01日 14:26,新浪网," “看到你们在普法,我特意回家拿了这份欠款协议,想让你们看下是否合规”“普法是好事呀,我来看看这个小册子是什么内容”……近日,商南县检察院来到金福湾社区开展民法典法律知识宣传活动。 活动现场,该院党员干警通过设立咨询台、悬挂标语、派发宣传册等方式,向现场群众介绍民法典和国家司法救助、刑事申诉等检察职能,讲解了民法典宣传册,宣传册内容涉及群众日常生活中常见常用的法律知识,突出群众最关心关注的亮点、热点,每页均设有普法讲堂栏,群众可以根据需求翻看阅读,积极引导群众养成办事依法、遇事找法、解决问题用法、化解矛盾靠法的法治意识,在活动现场,检察官一一耐心解答了群众遇到的相关法律问题。 下一步,该院将充分发挥支部党员的先锋模范带头作用,不断完善“零距离”服务群众举措,让法律法规入心入脑,积极开展公益保护、扶弱助困、送法进社区等志愿活动,把检察产品和检察服务外化为“看得见的正义”。 作者：吴京 编辑：王晨伟 责编：李鹏 主编：姚启明",https://k.sina.com.cn/article_5947596631_162811f570200298ev.html
邻里间产生矛盾该如何解决？民法典来帮您！,2022年03月01日 12:00,新浪网,案例一楼道属于业主共有部分，邻居放任员工抽烟不加处理的行为涉嫌侵害其他业主的相邻权。不动产的相邻权利人应当按照有利生产、方便生活、团结互助、公平合理的原则，正确处理相邻关系任何人不得在禁止吸烟场所吸烟和索要烟具，自觉听从劝阻；在非禁止吸烟场所吸烟应当合理避让不吸烟者，不乱弹烟灰，不乱扔烟头案例二合同解除后，房东应退还你剩余的租金，你应该承担违约责任，而租房合同中对违约责任约定不明确，房东在主张违约赔偿时，法院会酌情判决即使房东主张以半年租金来弥补因你违约造成的损失，也不一定得不到法院的支持，建议你最好通过协商解决该问题,https://k.sina.com.cn/article_2024623547_78ad4dbb019017qfb.html
生动的案例、立法纪实《民法典通解通读》随时听,2022年03月01日 09:56,新浪网, 夫妻债务如何认定？个人信息被商家泄露怎么办？熊孩子打网游偷偷充值买装备，钱还能要回来吗？遭遇家暴如何用法律保护自己？ 近日，北京广播电视台BRTV科教频道大型普法节目《民法典通解通读》联合北京广播电视台官方客户端听听FM制作推出音频版，随时随地点开收听，解决您身边的法律问题。 《民法典通解通读》（音频版）保留了参与《民法典》编纂工作专家的解读、主审民事案件一线法官和北京市律师协会资深律师现身说法，遵从音频用户收听习惯，将案例、纪实、互动、大众关注问题以短音频形式呈现，真正做到“解放双眼听电视”，随时随地想听就听。,https://k.sina.com.cn/article_1703371307_6587622b02002986g.html
民法典（423）：最高额抵押权所担保的债权的确定事由有哪些？,2022年02月28日 18:45,新浪网,民法典第四百二十三条有下列情形之一的，抵押权人的债权确定：(一)约定的债权确定期间届满；(二)没有约定债权确定期间或者约定不明确，抵押权人或者抵押人自最高额抵押权设立之日起满二年后请求确定债权；(三)新的债权不可能发生；(四)抵押权人知道或者应当知道抵押财产被查封、扣押；(五)债务人、抵押人被宣告破产或者解散；(六)法律规定债权确定的其他情形,https://k.sina.com.cn/article_7517400647_1c0126e4705902xnsm.html
老人起诉继子争取到居住权 《民法典》实施以来全省首例居住权纠纷判决生效,2022年02月28日 17:16,新浪网,谜团立遗嘱时老伴有居住权，两年后房子却过户了真相矛盾早就发生了，继子一直想让老人离开判决除了那间房 老人还可以使用共用区域居住权及时登记可避免争议,https://k.sina.com.cn/article_2109185642_7db79e6a020019zv9.html
鼓励见义勇为！最高人民法院出台民法典总则编司法解释,2022年02月28日 14:17,新浪网, 最高人民法院2月25日发布《最高人民法院关于适用〈中华人民共和国民法典〉总则编若干问题的解释》，指导各级人民法院正确审理相关案件，统一裁判标准，确保民法典统一正确实施。 司法解释共39条，分为一般规定、民事权利能力和民事行为能力、监护、宣告失踪和宣告死亡、民事法律行为、代理、民事责任、诉讼时效和附则9个部分，自2022年3月1日起施行。 据悉，司法解释大力弘扬社会主义核心价值观，通过细化习惯的适用规则、监护制度、民事法律行为、民事责任、诉讼时效等制度规则，彰显民法典强调公平正义、倡导诚实守信的价值导向。 其中，司法解释细化正当防卫制度规则，明确规定：对于正当防卫是否超过必要的限度，人民法院应当综合不法侵害的性质、手段、强度、危害程度和防卫的时机、手段、强度、损害后果等因素判断。 经审理，正当防卫没有超过必要限度的，人民法院应当认定正当防卫人不承担责任。正当防卫超过必要限度的，人民法院应当认定正当防卫人在造成不应有的损害范围内承担部分责任;实施侵害行为的人请求正当防卫人承担全部责任的，人民法院不予支持。 在鼓励见义勇为方面，司法解释明确规定，因保护他人民事权益使自己受到损害，受害人依据民法典第一百八十三条的规定请求受益人适当补偿的，人民法院可以根据受害人所受损失和已获赔偿的情况、受益人受益的多少及其经济条件等因素确定受益人承担的补偿数额。 此外，司法解释突出强调权利保护，从保护未成年人、胎儿利益，规范权利的行使，平衡失踪人与利害关系人利益等方面作出规定。 最高法同时发布了第一批13件人民法院贯彻实施民法典典型案例，涉及未成年人保护、居住权保护、“头顶上的安全”等一系列人民群众普遍关心关注的问题。通过“小案件”讲述“大道理”，指引人民法院统一正确实施民法典，助力人民群众学习好运用好民法典。 来源：新华社,https://k.sina.com.cn/article_2634513522_9d077c7201901y2uj.html
广州两案入选人民法院贯彻实施民法典典型案例（第一批）,2022年02月28日 13:51,新浪网,近日，最高人民法院发布人民法院贯彻实施民法典典型案例（第一批），广州两案入选，分别是广州市黄埔区人民法院审理的广州市黄埔区民政局与陈某金申请变更监护人案，广州市越秀区人民法院审理的庾某娴诉黄某辉高空抛物损害责任纠纷案。据介绍，本批13件案例是在反复研究论证和广泛征求意见的基础上，从全国各高院报送的500余件案例中精选出来，基本涵盖了民法典各编有关新制度新规则，具有三个特点：一是坚持依法治国与以德治国相结合，弘扬社会主义核心价值观。二是聚焦民生痛点难点，依法保护人民权利。三是顺应时代要求，服务保障经济社会高质量发展。本批典型案例，通过“小案件”讲述“大道理”，对于指引人民法院统一正确实施民法典，助力人民群众学习好运用好民法典具有积极意义。人民法院贯彻实施民法典典型案例（第一批）一、广州市黄埔区民政局与陈某金申请变更监护人案二、梅河口市儿童福利院与张某柔申请撤销监护人资格案三、杭州市上城区人民检察院诉某网络科技有限公司英雄烈士保护民事公益诉讼案四、黄某诉某物业服务有限公司健康权纠纷案五、邱某光与董某军居住权执行案六、某物流有限公司诉吴某运输合同纠纷案七、楼某熙诉杜某峰、某网络技术有限公司肖像权纠纷案八、苏某甲诉李某田等法定继承纠纷案九、欧某士申请指定遗产管理人案十、宋某祯诉周某身体权纠纷案十一、浮梁县人民检察院诉某化工集团有限公司环境污染民事公益诉讼案十二、某种业科技有限公司诉某农业产业发展有限公司侵害植物新品种权纠纷案十三、庾某娴诉黄某辉高空抛物损害责任纠纷案文、图/广州日报·新花城记者：章程广州日报·新花城编辑：张影,https://k.sina.com.cn/article_7517400647_1c0126e4705902xjkt.html
最高人民法院出台民法典总则编司法解释,2022年02月28日 11:53,新浪网, 据新华社电（记者罗沙）最高人民法院近日发布《最高人民法院关于适用〈中华人民共和国民法典〉总则编若干问题的解释》，指导各级人民法院正确审理相关案件，统一裁判标准，确保民法典统一正确实施。 司法解释共39条，分为一般规定、民事权利能力和民事行为能力、监护、宣告失踪和宣告死亡、民事法律行为、代理、民事责任、诉讼时效和附则9个部分，自2022年3月1日起施行。 据悉，司法解释大力弘扬社会主义核心价值观，通过细化习惯的适用规则、监护制度、民事法律行为、民事责任、诉讼时效等制度规则，彰显民法典强调公平正义、倡导诚实守信的价值导向。 其中，司法解释细化正当防卫制度规则，明确规定：对于正当防卫是否超过必要的限度，人民法院应当综合不法侵害的性质、手段、强度、危害程度和防卫的时机、手段、强度、损害后果等因素判断。 经审理，正当防卫没有超过必要限度的，人民法院应当认定正当防卫人不承担责任。正当防卫超过必要限度的，人民法院应当认定正当防卫人在造成不应有的损害范围内承担部分责任；实施侵害行为的人请求正当防卫人承担全部责任的，人民法院不予支持。 在鼓励见义勇为方面，司法解释明确规定，因保护他人民事权益使自己受到损害，受害人依据民法典第一百八十三条的规定请求受益人适当补偿的，人民法院可以根据受害人所受损失和已获赔偿的情况、受益人受益的多少及其经济条件等因素确定受益人承担的补偿数额。 此外，司法解释突出强调权利保护，从保护未成年人、胎儿利益，规范权利的行使，平衡失踪人与利害关系人利益等方面作出规定。,https://k.sina.com.cn/article_2169891005_8155e8bd02001crxk.html
债务人未按约定期限还款？ 民法典有说法,2022年02月28日 10:58,新浪网,本文转自：九派新闻兴安日报记者 王敏 通讯员 苏日娜近日，兴安盟中级人民法院判决了一起民间借贷纠纷案。王某向金某借款13000元，该款双方未约定还款时间，金某多次索要欠款，王某以没钱为由拖延，金某无奈诉至扎赉特旗人民法院。一审法院认为，金某以微信转账的方式借给王某13000元一事无异议，且金某提供一张微信截图和一张转账清单明细的复印件加以证实，而王某以没钱为由至今未清偿。由此认定金某与王某之间的借贷关系成立。一审法院判决：王某在判决生效后十日内返还金某13000元。王某不服一审法院判决，向兴安盟中级人民法院提出上诉。兴安盟中级人民法院通过审理认为，一审法院认定的事实和适用法律并无不当，该院予以认可，王某与金某之间13000元的借贷关系成立，王某应及时履行返还借款义务，故维持了一审判决。以案释法：根据《中华人民共和国民法典》第六百七十五条“借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，借款人可以随时返还，贷款人可以催告借款人在合理期限内返还” 的规定，王某对金某所称的其以微信转账的方式借给王某13000元一事无异议，但没钱不是不还钱的理由。根据民法典相关规定，不能确定还款期限的，出借人可以随时要求借款人返还欠款，王某应及时履行返还借款义务。,https://k.sina.com.cn/article_7517400647_1c0126e4705902xhs9.html
46种！民法典实施后应当采用书面形式订立的合同+依据全汇总！,2022年02月28日 10:30,新浪网,《民法典》第938条第3款规定，物业服务合同应当采用书面形式。除此之外，《民法典》和其他法律法规均有对合同应当采用书面形式的规定，散见于各处。应当采用书面合同而不采用的，对合同关系的成立和合同类型的确定，都会带来争议的风险和举证的困难，为此，有必要汇总整理各处规定。须提示的是，即使法律、行政法规规定应当采用书面形式订立合同的，当事人没有采用书面形式，也不表示当事人之间的合同关系就不能成立。如果一方已经履行主要义务，对方接受时，合同就成立了(依据民法典490条)。但是不采用书面形式，实践中会产生较重的举证责任，主张合同成立的一方，要证明自己已经履行义务且对方接受，加大了“合同是否成立、成立了何种合同”争议的风险。因此对于法律有明确规定应当采用书面形式的合同，还是应当有所了解和把握。本文整理汇总所有应当采用书面形式订立的合同的类型及对应的法律、行政法规的规定，均根据当下时间点最新的法律规范列明，供各位参考。01、金融借款合同（区别于自然人之间的借款合同）《中华人民共和国民法典》（2021年1月1日施行）第六百六十八条 借款合同应当采用书面形式，但是自然人之间借款另有约定的除外。借款合同的内容一般包括借款种类、币种、用途、数额、利率、期限和还款方式等条款。《中华人民共和国商业银行法》（2015年8月29日第二次修正）第三十七条 商业银行贷款，应当与借款人订立书面合同。合同应当约定贷款种类、借款用途、金额、利率、还款期限、还款方式、违约责任和双方认为需要约定的其他事项。02、租期六个月以上的租赁合同《中华人民共和国民法典》（2021年1月1日施行）第七百零七条 租赁期限六个月以上的，应当采用书面形式。当事人未采用书面形式，无法确定租赁期限的，视为不定期租赁。03、融资租赁合同融资租赁合同《中华人民共和国民法典》（2021年1月1日施行）第七百三十六条 融资租赁合同的内容一般包括租赁物的名称、数量、规格、技术性能、检验方法，租赁期限，租金构成及其支付期限和方式、币种，租赁期限届满租赁物的归属等条款。融资租赁合同应当采用书面形式。04、建设工程合同《中华人民共和国民法典》（2021年1月1日施行）第七百八十九条 建设工程合同应当采用书面形式。《中华人民共和国建筑法》（2019年4月23日修正）第十五条 建筑工程的发包单位与承包单位应当依法订立书面合同，明确双方的权利和义务。发包单位和承包单位应当全面履行合同约定的义务。不按照合同约定履行义务的，依法承担违约责任。05、建设工程委托监理合同《中华人民共和国民法典》（2021年1月1日施行）第七百九十六条 建设工程实行监理的，发包人应当与监理人采用书面形式订立委托监理合同。发包人与监理人的权利和义务以及法律责任，应当依照本编委托合同以及其他有关法律、行政法规的规定。《中华人民共和国建筑法》（2019年4月23日修正）第三十一条 实行监理的建筑工程，由建设单位委托具有相应资质条件的工程监理单位监理。建设单位与其委托的工程监理单位应当订立书面委托监理合同。06、技术开发合同、技术转让合同和技术许可合同《中华人民共和国民法典》（2021年1月1日施行）第八百五十一条 技术开发合同是当事人之间就新技术、新产品、新工艺、新品种或者新材料及其系统的研究开发所订立的合同。技术开发合同包括委托开发合同和合作开发合同。技术开发合同应当采用书面形式。《中华人民共和国民法典》（2021年1月1日施行）第八百六十三条 技术转让合同包括专利权转让、专利申请权转让、技术秘密转让等合同。技术许可合同包括专利实施许可、技术秘密使用许可等合同。技术转让合同和技术许可合同应当采用书面形式。07、建设用地使用权出让合同《中华人民共和国民法典》（2021年1月1日施行）第三百四十八条 通过招标、拍卖、协议等出让方式设立建设用地使用权的，当事人应当采用书面形式订立建设用地使用权出让合同。……《中华人民共和国城市房地产管理法》（2019年8月26日第三次修正）第十五条 土地使用权出让，应当签订书面出让合同。土地使用权出让合同由市、县人民政府土地管理部门与土地使用者签订。08、建设用地使用权流转合同《中华人民共和国民法典》（2021年1月1日施行）第三百五十四条 建设用地使用权转让、互换、出资、赠与或者抵押的，当事人应当采用书面形式订立相应的合同。使用期限由当事人约定，但是不得超过建设用地使用权的剩余期限。09、居住权合同《中华人民共和国民法典》（2021年1月1日施行）第三百六十七条 设立居住权，当事人应当采用书面形式订立居住权合同。10、地役权合同《中华人民共和国民法典》（2021年1月1日施行）第三百七十三条 设立地役权，当事人应当采用书面形式订立地役权合同。11、抵押合同《中华人民共和国民法典》（2021年1月1日施行）第四百条 设立抵押权，当事人应当采用书面形式订立抵押合同。请注意：在已经废止的《物权法》中，对浮动抵押也提及了“书面协议”，如下：第一百八十一条 经当事人书面协议，企业、个体工商户、农业生产经营者可以将现有的以及将有的生产设备、原材料、半成品、产品抵押，债务人不履行到期债务或者发生当事人约定的实现抵押权的情形，债权人有权就实现抵押权时的动产优先受偿。《民法典》对应调整为：第三百九十六条 企业、个体工商户、农业生产经营者可以将现有的以及将有的生产设备、原材料、半成品、产品抵押，债务人不履行到期债务或者发生当事人约定的实现抵押权的情形，债权人有权就抵押财产确定时的动产优先受偿。上述条款删除了“经当事人书面协议”，但由于第四百条的存在，应该认为浮动抵押也依然需要采用书面形式订立合同，只是不需要重复规定而已。《中华人民共和国城市房地产管理法》（2019年8月26日第三次修正）第五十条 房地产抵押，抵押人和抵押权人应当签订书面抵押合同。12、质押合同《中华人民共和国民法典》（2021年1月1日施行）第四百二十七条 设立质权，当事人应当采用书面形式订立质押合同。《中华人民共和国商标法实施条例》（2014年4月29日修订）第七十条 以注册商标专用权出质的，出质人与质权人应当签订书面质权合同，并共同向商标局提出质权登记申请，由商标局公告。关于保证合同的特别说明原《中华人民共和国担保法》（1995年10月1日施行）第十三条 保证人与债权人应当以书面形式订立保证合同。《民法典》没有继续沿用前述规定，而是作出如下规定：第六百八十五条 保证合同可以是单独订立的书面合同，也可以是主债权债务合同中的保证条款。第三人单方以书面形式向债权人作出保证，债权人接收且未提出异议的，保证合同成立。可见，保证合同不属于法律规定的“应当”采用书面形式的合同。关于定金合同的特别说明原《中华人民共和国担保法》（1995年10月1日施行）第九十条 定金应当以书面形式约定。当事人在定金合同中应当约定交付定金的期限。定金合同从实际交付定金之日起生效。《民法典》没有继续沿用前述规定，把定金规定在合同编通则的违约责任章节，没有作出应当采用书面形式的规定。13、细胞、器官、组织、遗体捐赠合同《中华人民共和国民法典》（2021年1月1日施行）第一千零六条 完全民事行为能力人有权依法自主决定无偿捐献其人体细胞、人体组织、人体器官、遗体。任何组织或者个人不得强迫、欺骗、利诱其捐献。完全民事行为能力人依据前款规定同意捐献的，应当采用书面形式，也可以订立遗嘱。自然人生前未表示不同意捐献的，该自然人死亡后，其配偶、成年子女、父母可以共同决定捐献，决定捐献应当采用书面形式。14、约定夫妻关系存续期间财产归属《中华人民共和国民法典》（2021年1月1日施行）第一千零六十五条 男女双方可以约定婚姻关系存续期间所得的财产以及婚前财产归各自所有、共同所有或者部分各自所有、部分共同所有。约定应当采用书面形式。没有约定或者约定不明确的，适用本法第一千零六十二条、第一千零六十三条的规定。15、离婚协议《中华人民共和国民法典》（2021年1月1日施行）第一千零七十六条 夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。16、外国人在中国收养子女的协议《中华人民共和国民法典》（2021年1月1日施行）第一千一百零九条 外国人依法可以在中华人民共和国收养子女。外国人在中华人民共和国收养子女，应当经其所在国主管机关依照该国法律审查同意。收养人应当提供由其所在国有权机构出具的有关其年龄、婚姻、职业、财产、健康、有无受过刑事处罚等状况的证明材料，并与送养人签订书面协议，亲自向省、自治区、直辖市人民政府民政部门登记。前款规定的证明材料应当经收养人所在国外交机关或者外交机关授权的机构认证，并经中华人民共和国驻该国使领馆认证，但是国家另有规定的除外。17、房地产转让合同《中华人民共和国城市房地产管理法》（2019年8月26日第三次修正）第四十一条 房地产转让，应当签订书面转让合同，合同中应当载明土地使用权取得的方式。18、房屋租赁合同《中华人民共和国城市房地产管理法》（2019年8月26日第三次修正）第五十四条 房屋租赁，出租人和承租人应当签订书面租赁合同，约定租赁期限、租赁用途、租赁价格、修缮责任等条款，以及双方的其他权利和义务，并向房产管理部门登记备案。19、农村土地承包经营合同《中华人民共和国农村土地承包法》（2018年12月29日第二次修正）第二十二条第一款 发包方应当与承包方签订书面承包合同。《中华人民共和国草原法》（2013年6月29日第二次修正）第十四条第一款 承包经营草原，发包方和承包方应当签订书面合同。草原承包合同的内容应当包括双方的权利和义务、承包草原四至界限、面积和等级、承包期和起止日期、承包草原用途和违约责任等。承包期届满，原承包经营者在同等条件下享有优先承包权。20、农村土地承包经营权流转合同《中华人民共和国农村土地承包法》（2018年12月29日第二次修正）第四十条 土地经营权流转，当事人双方应当签订书面流转合同。土地经营权流转合同一般包括以下条款：（一）双方当事人的姓名、住所；（二）流转土地的名称、坐落、面积、质量等级；（三）流转期限和起止日期；（四）流转土地的用途；（五）双方当事人的权利和义务；（六）流转价款及支付方式；（七）土地被依法征收、征用、占用时有关补偿费的归属；（八）违约责任。承包方将土地交由他人代耕不超过一年的，可以不签订书面合同。21、合伙企业合同《中华人民共和国合伙企业法》（2006年8月27日修订）第四条 合伙协议依法由全体合伙人协商一致、以书面形式订立。22、个人独资企业委托投资、管理合同《中华人民共和国个人独资企业法》（2000年1月1日施行）第十九条第二款 投资人委托或者聘用他人管理个人独资企业事务，应当与受托人或者被聘用的人签订书面合同，明确委托的具体内容和授予的权利范围。23、民用航空器转让合同《中华人民共和国民用航空法》（2018年12月29日修正）第十四条 民用航空器所有权的取得、转让和消灭，应当向国务院民用航空主管部门登记；未经登记的，不得对抗第三人。民用航空器所有权的转让，应当签订书面合同。24、民用航空器租赁合同《中华人民共和国民用航空法》（2018年12月29日第五次修正）第二十六条 民用航空器租赁合同，包括融资租赁合同和其他租赁合同，应当以书面形式订立。25、通用航空经营合同《中华人民共和国民用航空法》（2018年12月29日第五次修正）第一百四十八条 通用航空企业从事经营性通用航空活动，应当与用户订立书面合同，但是紧急情况下的救护或者救灾飞行除外。26、保险合同《中华人民共和国保险法》（2015年4月24日第三次修正）第十三条 投保人提出保险要求，经保险人同意承保，保险合同成立。保险人应当及时向投保人签发保险单或者其他保险凭证。保险单或者其他保险凭证应当载明当事人双方约定的合同内容。当事人也可以约定采用其他书面形式载明合同内容。27、包价旅游合同《中华人民共和国旅游法》（2018年10月26日第二次修正）第五十八条 包价旅游合同应当采用书面形式，包括下列内容：（一）旅行社、旅游者的基本信息；（二）旅游行程安排；（三）旅游团成团的最低人数；（四）交通、住宿、餐饮等旅游服务安排和标准；（五）游览、娱乐等项目的具体内容和时间；（六）自由活动时间安排；（七）旅游费用及其交纳的期限和方式；（八）违约责任和解决纠纷的方式；（九）法律、法规规定和双方约定的其他事项。订立包价旅游合同时，旅行社应当向旅游者详细说明前款第二项至第八项所载内容。28、包价旅游接待委托合同《中华人民共和国旅游法》（2018年10月26日第二次修正）第六十九条 旅行社应当按照包价旅游合同的约定履行义务，不得擅自变更旅游行程安排。经旅游者同意，旅行社将包价旅游合同中的接待业务委托给其他具有相应资质的地接社履行的，应当与地接社订立书面委托合同，约定双方的权利和义务，向地接社提供与旅游者订立的包价旅游合同的副本，并向地接社支付不低于接待和服务成本的费用。地接社应当按照包价旅游合同和委托合同提供服务。29、委托拍卖合同《中华人民共和国拍卖法》（2015年4月24日修正）第四十二条 拍卖人应当对委托人提供的有关文件、资料进行核实。拍卖人接受委托的，应当与委托人签订书面委托拍卖合同。30、广告合同《中华人民共和国广告法》（2018年10月26日修正）第三十条 广告主、广告经营者、广告发布者之间在广告活动中应当依法订立书面合同。31、慈善捐赠合同《中华人民共和国慈善法》（2016年9月1日施行）第三十九条 慈善组织接受捐赠，捐赠人要求签订书面捐赠协议的，慈善组织应当与捐赠人签订书面捐赠协议。书面捐赠协议包括捐赠人和慈善组织名称，捐赠财产的种类、数量、质量、用途、交付时间等内容。32、著作财产权转让合同《中华人民共和国著作权法》（2020年11月11日第三次修正）第二十七条 转让本法第十条第一款第五项至第十七项规定的权利，应当订立书面合同。权利转让合同包括下列主要内容：（一）作品的名称；（二）转让的权利种类、地域范围；（三）转让价金；（四）交付转让价金的日期和方式；（五）违约责任；（六）双方认为需要约定的其他内容。33、专利申请权、专利权转让合同《中华人民共和国专利法》（2020年10月17日第四次修正）第十条 专利申请权和专利权可以转让。中国单位或者个人向外国人、外国企业或者外国其他组织转让专利申请权或者专利权的，应当依照有关法律、行政法规的规定办理手续。转让专利申请权或者专利权的，当事人应当订立书面合同，并向国务院专利行政部门登记，由国务院专利行政部门予以公告。专利申请权或者专利权的转让自登记之日起生效。34、仲裁合同《中华人民共和国仲裁法》（2017年9月1日修正）第十六条 仲裁协议包括合同中订立的仲裁条款和以其他书面方式在纠纷发生前或者纠纷发生后达成的请求仲裁的协议。仲裁协议应当具有下列内容：（一）请求仲裁的意思表示；（二）仲裁事项；（三）选定的仲裁委员会。35、船舶转让合同《中华人民共和国海商法》（1993年7月1日施行）第九条 船舶所有权的取得、转让和消灭，应当向船舶登记机关登记；未经登记的，不得对抗第三人。船舶所有权的转让，应当签订书面合同。36、船舶抵押合同《中华人民共和国海商法》（1993年7月1日施行）第十二条 船舶所有人或者船舶所有人授权的人可以设定船舶抵押权。船舶抵押权的设定，应当签订书面合同。37、航次租船合同《中华人民共和国海商法》（1993年7月1日施行）第四十三条 承运人或者托运人可以要求书面确认海上货物运输合同的成立。但是，航次租船合同应当书面订立。电报、电传和传真具有书面效力。38、定期租船合同、光船租赁合同《中华人民共和国海商法》（1993年7月1日施行）第一百二十八条 船舶租用合同，包括定期租船合同和光船租赁合同，均应当书面订立。39、海上拖航合同《中华人民共和国海商法》（1993年7月1日施行）第一百五十六条 海上拖航合同应当书面订立。海上拖航合同的内容，主要包括承拖方和被拖方的名称和住所、拖轮和被拖物的名称和主要尺度、拖轮马力、起拖地和目的地、起拖日期、拖航费及其支付方式，以及其他有关事项。40、商品房买卖合同《中华人民共和国城市房地产开发经营管理条例》（2020年3月27日第三次修正）第二十七条 商品房销售，当事人双方应当签订书面合同。合同应当载明商品房的建筑面积和使用面积、价格、交付日期、质量要求、物业管理方式以及双方的违约责任。41、前期物业服务合同《中华人民共和国物业管理条例》（2018年3月19日第三次修正）第二十一条 在业主、业主大会选聘物业服务企业之前，建设单位选聘物业服务企业的，应当签订书面的前期物业服务合同。42、物业服务合同《中华人民共和国民法典》（2021年1月1日施行）第九百三十八条 物业服务合同的内容一般包括服务事项、服务质量、服务费用的标准和收取办法、维修资金的使用、服务用房的管理和使用、服务期限、服务交接等条款。物业服务人公开作出的有利于业主的服务承诺，为物业服务合同的组成部分。物业服务合同应当采用书面形式。《中华人民共和国物业管理条例》（2018年3月19日第三次修正）第三十四条 业主委员会应当与业主大会选聘的物业服务企业订立书面的物业服务合同。物业服务合同应当对物业管理事项、服务质量、服务费用、双方的权利义务、专项维修资金的管理与使用、物业管理用房、合同期限、违约责任等内容进行约定。43、劳动合同《中华人民共和国劳动法》（2018年12月29日修正）第十九条 劳动合同应当以书面形式订立，并具备以下条款：（一）劳动合同期限；（二）工作内容；（三）劳动保护和劳动条件；（四）劳动报酬；（五）劳动纪律；（六）劳动合同终止的条件；（七）违反劳动合同的责任。劳动合同除前款规定的必备条款外，当事人可以协商约定其他内容。《中华人民共和国劳动合同法》（2012年12月28日修正）第十条 建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。44、信托合同说明：设立信托，应当采取书面形式，但这里的书面形式未必是书面的合同，也可能是遗嘱或其他书面文件。《中华人民共和国信托法》（2001年10月1日施行）第八条 设立信托，应当采取书面形式。书面形式包括信托合同、遗嘱或者法律、行政法规规定的其他书面文件等。采取信托合同形式设立信托的，信托合同签订时，信托成立。采取其他书面形式设立信托的，受托人承诺信托时，信托成立。45、政府采购合同《中华人民共和国政府采购法》（2014年8月31日修正）第四十四条 政府采购合同应当采用书面形式。46、经过招投标程序签订的合同说明：与前述合同类型相比，本条不是特定类别合同，而是指招投标活动中，按照要求要签署的书面合同。《中华人民共和国招标投标法》（2017年12月27日修正）第四十六条 招标人和中标人应当自中标通知书发出之日起三十日内，按照招标文件和中标人的投标文件订立书面合同。招标人和中标人不得再行订立背离合同实质性内容的其他协议。招标文件要求中标人提交履约保证金的，中标人应当提交。文章来源于最高人民法院司法案例研究院,https://k.sina.com.cn/article_5789074721_1590e4521001011d9b.html
