,分行名称,纬度,经度,星期一至星期五,星期六,星期日和公眾假期,电话,传真,地址,是否有ATM,是否有柜台
10,"
          First Street Branch
        ","
22.2865402
","
114.1425311
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"55A First Street, Sai Ying Pun, Hong Kong ",有,有
11,"
          United Centre Branch
        ","
22.278421
","
114.165361
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 1021, United Centre, 95 Queensway, Hong Kong ",有,有
12,"
          Shun Tak Centre Branch
        ","
22.288101
","
114.1512204
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 225, 2/F, Shun Tak Centre, 200 Connaught Road Central, HK ",有,有
13,"
          Bank of China Tower Branch
        ","
22.27925
","
114.161572
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 2826 6888,  +852 2804 6370,"1 Garden Road, Hong Kong ",有,有
14,"
          Central District (Wing On House) Branch
        ","
22.283852
","
114.1564086
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"B/F-2/F, Wing on House, 71 Des Voeux Road Central, Hong Kong ",有,有
15,"
          Queen's Road West (Sheung Wan) Branch
        ","
22.2864297
","
114.1485646
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"2-12 Queen's Road West, Sheung Wan, Hong Kong ",有,有
16,"
          MTR Admiralty Station
        ","
22.2780189
","
114.165959
",,,,,,MTR Admiralty Station ,没有,没有
17,"
          MTR Sheung Wan Station
        ","
22.286659
","
114.151947
",,,,,,MTR Sheung Wan Station ,没有,没有
18,"
          MTR Central Station
        ","
22.281488
","
114.158554
",,,,,,MTR Central Station ,没有,没有
19,"
          Euro Trade Centre ATM Services Centre
        ","
22.2827585
","
114.1576765
",,,,,,"Shop No.W, Euro Trade Centre 13-14 Connaught Road Central, HK ",没有,没有
20,"
          MTR Hong Kong Station
        ","
22.28424
","
114.158882
",,,,,,MTR Hong Kong Station ,没有,没有
21,"
          3/F Bank of China Tower
        ","
22.2796675
","
114.1612875
",,,,,,"3/F Bank of China Tower, 1 Garden Road, HK ",没有,没有
22,"
          G/F Bank of China Tower
        ","
22.2796675
","
114.1612875
",,,,,,"G/F Bank of China Tower, 1 Garden Road, HK ",没有,没有
23,"
          University of Hong Kong ATM Centre
        ","
22.2828229
","
114.1361807
",,,,,,"Podium of Haking Wong Bldg, University of Hong Kong, Pok Fu Lam, HK ",没有,没有
24,"
          United Centre Self-Service Banking Centre
        ","
22.278421
","
114.165361
",,,,,,"Shop 1011, United Centre, 95 Queensway, HK ",没有,没有
25,"
          Financial Institutions (Bank)
        ","
22.2793052
","
114.1614922
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,,,"  33/F Bank of China Tower, 1 Garden Road, Hong Kong",没有,没有
26,"
          Financial Institutions (Non-Bank)
        ","
22.2793052
","
114.1614922
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,,,"  33/F Bank of China Tower, 1 Garden Road, Hong Kong",没有,没有
27,"
          Public Sector
        ","
22.279334
","
114.161450
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,,,"  33/F, Bank of China Tower, 1 Garden Road, Hong Kong",没有,没有
28,"
          Commercial Business Division I
        ","
22.2793052
","
114.1614922
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,,,"  24/F Bank of China Tower, 1 Garden Road, Hong Kong",没有,没有
29,"
          Commercial Business Division II
        ","
22.2793052
","
114.1614922
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,,,"  9/F Bank of China Tower, 1 Garden Road, Hong Kong",没有,没有
30,"
          Hong Kong Island Commercial Centre
        ","
22.284088
","
114.156635
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,,,"  2/F, Wing On House, 71 Des Voeux Road Central, Hong Kong",没有,没有
31,"
          MTR Kennedy Town Station
        ","
22.281316
","
114.128987
",,,,,,MTR Kennedy Town Station ,没有,没有
32,"
          China's Foreign Ministry
        ","
22.2770036
","
114.1630349
",,,,,,"42 Kennedy Road, Central, Hong Kong ",没有,没有
33,"
          Central Barracks
        ","
22.282400
","
114.163202
",,,,,,"Block 10,  Central Barracks, Hong Kong  ",没有,没有
34,"
          Hong Kong Special Administrative Region
        ","
22.288070
","
114.139828
",,,,,,"160 Connaught Road West, Sai Ying Pun, Hong Kong ",没有,没有
35,"
          Legislative Council Complex
        ","
22.281806
","
114.166412
",,,,,,"The area situated on the portion of the Ground Floor, Legislative Council Complex, 1 Legislative Council Road, Central, Hong Kong ",没有,没有
36,"
          Central Government Offices
        ","
22.2802975
","
114.1658597
",,,,,,"Area A on the First Floor of Central Government Offices, No. 2 Tim Mei Avenue, Tamar, Hong Kong  ",没有,没有
37,"
          Happy Valley Wealth Management Centre
        ","
22.268552
","
114.186533
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Nos. 49-51A, Sing Woo Road, Happy Valley, Hong Kong ",有,有
38,"
          409 Hennessy Road Branch
        ","
22.279338
","
114.180549
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"409-415 Hennessy Road, Wan Chai, Hong Kong ",有,有
39,"
          Wan Chai (China Overseas Building) Branch
        ","
22.2776532
","
114.172805
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"139 Hennessy Road, Wan Chai, Hong Kong ",有,有
40,"
          Harbour Road Branch
        ","
22.2798311
","
114.1760776
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 6, G/F, Causeway Centre, 28 Harbour Road, Wan Chai, Hong Kong ",有,有
41,"
          Wan Chai (Wu Chung House) Branch
        ","
22.2745372
","
114.1728407
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"213 Queen's Road East, Wan Chai, Hong Kong ",有,有
42,"
          Johnston Road Branch
        ","
22.276552
","
114.174389
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"152-158 Johnston Road, Wan Chai, Hong Kong ",有,有
43,"
          Causeway Bay Branch
        ","
22.280542
","
114.183335
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop B, C & D on G/F & 1/F-3/F, Radio City, 505 Hennessy Road, Causeway Bay, Hong Kong ",有,有
44,"
          Happy Valley Branch
        ","
22.268921
","
114.185223
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"11 King Kwong Street, Happy Valley, Hong Kong ",有,有
45,"
          Jardine's Bazaar Branch
        ","
22.279608
","
114.185114
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"G/F, Siki Centre, No.23 Jardine's Bazaar, Causeway Bay, Hong Kong ",有,有
46,"
          MTR Wan Chai Station
        ","
22.2773543
","
114.1730167
",,,,,,MTR Wan Chai Station ,没有,没有
47,"
          Happy Valley Racecourse (Public Stand) ATM Services Centre
        ","
22.269802
","
114.18402
",,,,,,Happy Valley Racecourse - Public Entrance ,没有,没有
48,"
          Happy Valley Racecourse(Member Stand) ATM Services Centre
        ","
22.2722588771868
","
114.1803503036499
",,,,,,Happy Valley Racecourse-1/F Member's Main Entrance ,没有,没有
49,"
          MTR Causeway Bay Station
        ","
22.2800834
","
114.1826128
",,,,,,MTR Causeway Bay Station ,没有,没有
50,"
          Immigration Tower ATM Services Centre
        ","
22.2793434
","
114.1731023
",,,,,,"Room 1, 1/F Immigration Tower 7 Gloucester Road, Wan Chai, HK ",没有,没有
51,"
          Leighton Road Branch
        ","
22.277174
","
114.1819011
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop A & B, G/F, First Commercial Building, 33-35 Leighton Road, Causeway Bay, Hong Kong ",有,有
52,"
          Ruttonjee Hospital
        ","
22.275799
","
114.175333
",,,,,,"LG3, Ruttonjee Hospital, 266 Queen's Road East, Wan Chai, Hong Kong ",没有,没有
53,"
          The Hong Kong Academy for Performing Arts
        ","
22.280042
","
114.170094
",,,,,,"Portion of G/F Academy Block, The Hong Kong Academy for Performing Arts, 1 Gloucester Road, Wan Chai, Hong Kong ",没有,没有
54,"
          Hong Kong Police Headquarters
        ","
22.278783
","
114.168505
",,,,,,"Hong Kong Police Headquarters, Arsenal House, 1 Arsenal Street, Wanchai, H.K. ( G/F, East Wing ) ",没有,没有
55,"
          Heng Fa Chuen Branch
        ","
22.277675
","
114.2395195
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 205-208, East Wing Shopping Ctr, Heng Fa Chuen, Chai Wan, HK ",有,有
56,"
          North Point (Hang Ying Building) Branch
        ","
22.290118916372773
","
114.19621556997299
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop B1, 318-328 King' s Road, North Point, Hong Kong ",有,有
57,"
          Quarry Bay Branch
        ","
22.2845867
","
114.2133736
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Parkvale, 1060 King's Road, Quarry Bay, Hong Kong ",有,有
58,"
          Sai Wan Ho Branch
        ","
22.2811483
","
114.2226749
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"142-146 Shau Kei Wan Road, Sai Wan Ho, Hong Kong ",有,有
59,"
          Lee Chung Street Branch
        ","
22.2657514
","
114.2359625
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"29-31 Lee Chung Street, Chai Wan, Hong Kong. ",有,有
60,"
          King's Road Branch
        ","
22.2876806
","
114.1929691
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"131-133 King's Road, North Point, Hong Kong ",有,有
61,"
          Healthy Village Branch
        ","
22.2919531
","
114.2062597
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 1&2, Healthy Village Phase II, 668 King's Rd, North Point, HK ",有,有
62,"
          Chai Wan Branch
        ","
22.263987
","
114.2392275
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Block B, Walton Estate, 341-343 Chai Wan Road, Chai Wan, Hong Kong ",没有,没有
63,"
          Siu Sai Wan Branch
        ","
22.26280959
","
114.24974343
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 19, Cheerful Garden, Siu Sai Wan, Hong Kong ",有,有
64,"
          Kam Wa Street Branch
        ","
22.2779651
","
114.2302779
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"3 Kam Wa Street, Shau Kei Wan, Hong Kong ",有,有
65,"
          Taikoo Shing Branch
        ","
22.286204
","
114.2186012
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop P1025-1026 , Chi Sing Mansion, Taikoo Shing, HK ",有,有
66,"
          North Point Branch
        ","
22.291197
","
114.201019
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop B & C, G/F, King's Towers, 480 King's Road, North Point, Hong Kong ",有,有
67,"
          Shau Kei Wan (Po Man Building) Branch
        ","
22.2803379
","
114.2246653
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"260-262 Shau Kei Wan Road, Shau Kei Wan, Hong Kong ",有,有
68,"
          North Point (King's Centre) Branch
        ","
22.28943828618466
","
114.19420726597309
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"193-209 King's Road, North Point, Hong Kong ",没有,没有
69,"
          Lai Tak Tsuen
        ","
22.2784156
","
114.1939856
",,,,,,"G/F, Block 6, Lai Tak Tsuen, Tai Hang, HK ",没有,没有
70,"
          Chai Wan Branch Safe Box Service Centre
        ","
22.2644215
","
114.240442
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"  27 Gold Mine Building, 345 Chai Wan Road, Chai Wan, Hong Kong",有,有
71,"
          Taikoo Shing Branch Safe Box Service Centre
        ","
22.2862041
","
114.2186425
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"  Shop G1006, Hoi Shing Mansion, Taikoo Shing, Hong Kong",没有,没有
72,"
          MTR Tai Koo Station
        ","
22.2845337
","
114.2162496
",,,,,,MTR Tai Koo Station ,没有,没有
73,"
          MTR North Point Station
        ","
22.290879
","
114.2006345
",,,,,,MTR North Point Station ,没有,没有
74,"
          MTR Tin Hau Station
        ","
22.2826838
","
114.1915316
",,,,,,MTR Tin Hau Station ,没有,没有
75,"
          MTR Heng Fa Chuen Station
        ","
22.2766647
","
114.2398653
",,,,,,MTR Heng Fa Chuen Station ,没有,没有
76,"
          MTR Chai Wan Station
        ","
22.2645261
","
114.2371801
",,,,,,MTR Chai Wan Station ,没有,没有
77,"
          MTR Fortress Hill Station
        ","
22.2883244
","
114.1939313
",,,,,,MTR Fortress Hill Station ,没有,没有
78,"
          MTR Shau Kei Wan Station
        ","
22.2789312
","
114.2291588
",,,,,,MTR Shau Kei Wan Station ,没有,没有
79,"
          Yiu Tung Shopping Centre ATM Services
        ","
22.277426
","
114.224106
",,,,,,"1/F, Yiu Tung Shopping Centre, Yiu Tung Estate, Shaukeiwan ",没有,没有
80,"
          MTR Sai Wan Ho Station
        ","
22.2818951
","
114.222468
",,,,,,MTR Sai Wan Ho Station ,没有,没有
81,"
          Kornhill Plaza (South) ATM Services Centre
        ","
22.284487
","
114.216001
",,,,,,"2/F, Kornhill Plaza (South), 2 Kornhill Road, Quarry Bay, HK ",没有,没有
82,"
          MTR Quarry Bay Station
        ","
22.287944859016434
","
114.20982778072357
",,,,,,MTR Quarry Bay Station ,没有,没有
83,"
          Taikoo Shing (Yiu Sing Mansion)
        ","
22.286372
","
114.218760
",,,,,,"G1012-G1013, Yiu Sing Mansion, Taikoo Shing, Hong Kong ",没有,没有
84,"
          Tsui Wan Estate
        ","
22.267949
","
114.240396
",,,,,,"ATM No.2 Ground Floor, Tsui Wan Shopping Centre, Tsui Wan Estate, Chai Wan, Hong Kong ",没有,没有
85,"
          AIA Tower
        ","
22.288422
","
114.192742
",,,,,,"12/F AIA Tower, 183 Electric Road, North Point Hong Kong ",没有,没有
86,"
          North Point Wealth Management Centre
        ","
22.291105
","
114.200661
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 5B , G/F, Roca Centre, 460-470 King's Road, North Point, Hong Kong ",有,有
87,"
          Pamela Youde Nethersole Eastern Hospital
        ","
22.269438
","
114.236508
",,,,,,"G/F, Main Block, Pamela Youde Nethersole Eastern Hospital, 3 Lok Man Road, Chai Wan, Hong Kong ",没有,没有
88,"
          Aldrich Garden
        ","
22.280073
","
114.228488
",,,,,,"Shop 40, Aldrich Garden Shopping Centre, No.2 Oi Lai Street, Shau Kei Wan, Hong Kong. ",没有,没有
89,"
          Java Road Branch
        ","
22.292499
","
114.201941
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop B, G/F, Kiu Wah Building, 188-194 Java Road, North Point, Hong Kong ",有,有
90,"
          Fung Wah Estate ATM Services
        ","
22.260756
","
114.231058
",,,,,,"ATM in covered walkway on Ground Floor, Hiu Fung House, Fung Wah Estate, Nos. 4 & 6 Fung Ha Road, Chai Wan, Hong Kong. ",没有,没有
91,"
          Hing Wah (II) Estate
        ","
22.2634009
","
114.232877
",,,,,,"Site at Open Space adjacent to Shop No. 719, 7/F, On Hing House, Hing Wah (II) Estate, Chai Wan ",没有,没有
92,"
          Hong Kong Parkview
        ","
22.2581293
","
114.1983816
",,,,,,"G/F, Commercial Centre, Hong Kong Parkview, 88 Tai Tam Reservoir Rd, HK ",没有,没有
93,"
          Aberdeen Branch
        ","
22.2481767
","
114.1550356
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"25 Wu Pak Street, Aberdeen, Hong Kong ",有,有
94,"
          Ap Lei Chau Branch
        ","
22.2441922
","
114.1565771
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"13-15 Wai Fung Street, Ap Lei Chau, Hong Kong ",有,有
95,"
          Tin Wan Branch
        ","
22.2496827
","
114.148904
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"2-12 Ka Wo Street, Tin Wan, Hong Kong ",有,有
96,"
          South Horizons Branch
        ","
22.243666
","
114.146845
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"G38, West Centre Marina Square, South Horizons, Ap Lei Chau, HK ",有,有
97,"
          Chi Fu Landmark Branch
        ","
22.257917
","
114.138883
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 510, Chi Fu Landmark, Pok Fu Lam, Hong Kong ",有,有
98,"
          Stanley Branch
        ","
22.219544079024516
","
114.20982241630554
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop No.301B, Stanley Plaza, Hong Kong ",有,有
99,"
          South Horizons Branch Safe Box Service Centre
        ","
22.243444
","
114.148543
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"  Shop 118, Marina Square East Centre, Ap Lei Chau, Hong Kong",没有,没有
100,"
          Shek Pai Wan Shopping Centre ATM Services
        ","
22.249771
","
114.157404
",,,,,,"Next to Shop 2, LG 1/F, Shek Pai Wan Shopping Centre ",没有,没有
101,"
          Wong Chuk Hang Road
        ","
22.248186
","
114.166206
",,,,,,"40 Wong Chuk Hang Road, Hong Kong. ",没有,没有
102,"
          Hong Kong Adventist Hospital
        ","
22.263565
","
114.184265
",,,,,,"ATM at Hong Kong Adventist Hospital, 40 Stubbs Road,Hong Kong. ",没有,没有
103,"
          Ap Lei Chau Estate
        ","
22.244708
","
114.150138
",,,,,,"Shop No.12 Ground Floor, Lei Chak House, Ap Lei Chau Estate, 322,326,328,330 and 332 Ap Lei Chau Bridge Road, Ap Lei Chau, Hong Kong. ",没有,没有
104,"
          Wah Fu (1) Shopping Centre
        ","
22.250162
","
114.137494
",,,,,,"Shop No.22 at  G/F, Wah Fu (1) Shopping Centre, 23 Wah Fu Road, Pokfulam, Hong Kong ",没有,没有
105,"
          Grantham Hospital
        ","
22.251101
","
114.173293
",,,,,,"G/F, Main Block, Grantham Hospital, 125 Wong Chuk Hang Road, Aberdeen, HK ",没有,没有
106,"
          Queen Mary Hospital
        ","
22.270272
","
114.131178
",,,,,,"G/F, Wing A, Main Hospital Building, Queen Mary Hospital, 102 Pokfulam Road, Hong Kong ",没有,没有
107,"
          Ocean Park Station
        ","
22.248724
","
114.174318
",,,,,,"ATM Site OCP 4-b, Unpaid Concourse of MTR Ocean Park Station ",没有,没有
108,"
          Lei Tung Station
        ","
22.241936
","
114.156096
",,,,,,"ATM Site LET ATM1, Unpaid Concourse of MTR Lei Tung Station ",没有,没有
109,"
          Wong Chuk Hang Station
        ","
22.247980
","
114.167985
",,,,,,"Shop WCH6, Unpaid Concourse of MTR Wong Chuk Hang Station ",没有,没有
110,"
          Stanley Barracks
        ","
22.202201
","
114.215069
",,,,,,"South Stanley Camp, Stanley Peninsula, Southern District, Hong Kong Island, Hong Kong  ",没有,没有
111,"
          Wah Kwai Estate
        ","
22.250174
","
114.139108
",,,,,,"ATM No. 2, G/F, Wah Kwai Estate, Noble Square, 3 Wah Kwai  Road, Aberdeen, Hong Kong. ",没有,没有
112,"
          Hong Kong Police College
        ","
22.247306
","
114.1694613
",,,,,,"G/F., Hong Kong Police College Administration Block, 18 Ocean Park Road, Wong Chuk Hang, Hong Kong ",没有,没有
113,"
          Prince Edward Branch
        ","
22.325211
","
114.1682503
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"774 Nathan Road, Kowloon ",有,有
114,"
          Fuk Tsun Street Branch
        ","
22.3212951
","
114.1642719
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"32-40 Fuk Tsun Street, Tai Kok Tsui, Kowloon ",有,有
115,"
          Humphrey's Avenue Branch
        ","
22.2981631
","
114.1726582
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"4-4A Humphrey's Avenue, Tsim Sha Tsui, Kowloon ",有,有
116,"
          Mong Kok (Silvercorp Int'l Tower) Branch
        ","
22.32054410347764
","
114.16894018650055
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop B, 707-713 Nathan Road, Mong Kok, Kowloon ",有,有
117,"
          Jordan Road Branch
        ","
22.3054987
","
114.1706548
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"1/F, Sino Cheer Plaza, 23-29 Jordan Road, Kowloon ",有,有
118,"
          Mong Kok Branch
        ","
22.3157722
","
114.1699893
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"589 Nathan Road, Mong Kok, Kowloon ",有,有
119,"
          Prince Edward Road West (Mong Kok) Branch
        ","
22.324465
","
114.168068
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"116-118 Prince Edward Road West, Mong Kok, Kowloon ",有,有
120,"
          Tsim Sha Tsui Branch
        ","
22.299577
","
114.173312
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"24-28 Carnarvon Road, Tsim Sha Tsui, Kowloon ",有,有
121,"
          Shanghai Street (Prince Edward) Branch
        ","
22.3225649
","
114.1673973
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"689-693 Shanghai Street, Mong Kok, Kowloon ",有,有
122,"
          Tai Kok Tsui Branch
        ","
22.3203
","
114.1618055
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"73-77 Tai Kok Tsui Road, Tai Kok Tsui, Kowloon ",有,有
123,"
          China Hong Kong City Branch
        ","
22.300477
","
114.1681502
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 19-20, 2/F, China Hong Kong City, 33 Canton Road, Tsim Sha Tsui , Kowloon ",有,有
124,"
          Mong Kok Road Branch
        ","
22.3212348
","
114.1709626
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"50-52 Mong Kok Road, Mong Kok, Kowloon ",有,有
125,"
          Olympian City Branch
        ","
22.315719
","
114.162283
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Shop 133, 1/F, Olympian City 2, 18 Hoi Ting Road, Kowloon ",有,有
